,Job ID,URL,Job Title,Job Type,Company Name,Job Location,Job Level,Job Industry,Min Salary,Max Salary,Salary Paid,Date Posted,Contract,Internship,Temporary,Permanent,Job Description,Job Requirements
40,0a145c6a17ff88620000a163df100225,https://www.mycareersfuture.sg/job/cyber-incident-response-soc-governance-expert-nityo-infotech-services-0a145c6a17ff88620000a163df100225,Cyber Incident Response - SOC Governance Expert,Contract,NITYO INFOTECH SERVICES PTE. LTD.,"UBI TECHPARK, 10 UBI CRESCENT 408564",Executive,Information Technology,6500,8500,Monthly,01 Feb 2019,1,0,0,0," Strong expertise in managing Security Operation Centre (SOC) including operation teams (Monitoring & incident Response) and expertise teams (Threat Intelligence, Forensic, Data Analytics) Good knowledge in Cyber Security assessment framework: CIS20, NIST, CREST, ISO27001:27005 Good knowledge of Information Technology Production environment and technologies (Server, Database, Web Servers) Good skills in elaborating adapted Cyber Security Training materials for IT and non IT professionals Good knowledge of the Security technologies and market both for detection & protection mechanisms Strong expertise in elaborating the Cyber Incident Response procedures including playbooks, Incident Response & crisis management procedures Up to date posture on the Cyber threats, attacks methods and the best practices defensive measures Exceptional communication and advocacy skills, both verbal and written, with the ability to express complex technical issues in an easily understood manner. Ability to collaborate and communicate effectively and respectfully with both business-oriented executives and technology-oriented personnel in teams across the organization   "," At least 5 years of experience in Cyber Incident management Significant experience in assessing & improving Security Operation Centre (SOC) in complex and distributes Worldwide environment   Holder of information Security Certificate (CISM, CISA, CISSP) "
41,c8b5b7c9252dc9a9ef8e30ecbb19a2cb,https://www.mycareersfuture.sg/job/cyber-investigations-forensic-investigation-nityo-infotech-services-c8b5b7c9252dc9a9ef8e30ecbb19a2cb,Cyber Investigations and Forensic investigation,Contract,NITYO INFOTECH SERVICES PTE. LTD.,"UBI TECHPARK, 10 UBI CRESCENT 408564",Executive,Information Technology,6500,8500,Monthly,01 Feb 2019,1,0,0,0," Strong Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy Knowledge of Insider Threat investigations, reporting, investigative tools and laws/regulations in managing Security Operation Centre (SOC) including operation teams (Monitoring & incident Response) and expertize teams (Threat Intelligence, Forensic, Data Analytics) Knowledge of legal governance related to admissibility (e.g. Rules of Evidence) Knowledge of processes for collecting, packaging, transporting, and storing electronic evidence while maintaining chain of custody Knowledge of legal rules of evidence and court procedure Knowledge of applicable laws, regulations and/or administrative/criminal legal guidelines and procedures. Knowledge of anti-forensics tactics, techniques, and procedures. Good communication and advocacy skills, both verbal and written, with the ability to express complex technical issues in an easily understood manner.  Ability to collaborate and communicate effectively and respectfully with both business-oriented executives and technology-oriented personnel in teams across the organization"," At least 6 years of experience in Cyber Forensic Investigation Significant experience in building Forensic investigation framework in complex and distributes environment in Asia Pacific Holder of information Security Certificate (GIAC Certification(s), CREST CCMRE) "
42,d7b4ccc59c6c7b530de2d76926ceff4d,https://www.mycareersfuture.sg/job/hr-assistant-manager-partea-management-d7b4ccc59c6c7b530de2d76926ceff4d,HR Assistant Manager,Full Time,PARTEA MANAGEMENT PTE. LTD.,,Middle Management,Admin / Secretarial,5000,7000,Monthly,01 Feb 2019,0,0,0,0,"The Human Resource Executive (Performance and Rewards) supports execution of performance management programmes, and compensation and benefits plans. He/She compares the organisation's compensation and benefits programmes with other organisations. He/She oversees the preparation of the payroll reports and works with benefits partners for claim disbursements.  He/She ensures the accuracy of performance and compensation records in the systems, as well as ensuring regulations are followed. He/She performs data analytics and shares insights reports with senior members of the team.  He/She works well in a team environment, and is able to communicate well with various stakeholders. He/She possesses an analytical mind and displays keen insight into data, using them to address issues and find solutions to work challenges."," ~ Analyse employee demographics and associated risk exposure ~ Analyse employee feedback on benefits schemes ~ Analyse historical and current HR data to recognise trends and patterns in performance and rewards ~ Analyse utilisation rate of employee benefits and programmes ~ Benchmark organisation's compensation and benefits programmes against industry practices in relation to sector wage information of the Skills Framework ~ Check that regulatory and ethical guidelines are followed when handling employee data ~ Conduct diagnostic analytics on HR data to identify causes of behaviours and performance ~ Conduct job analysis and evaluations to propose employees' job size ~ Develop employee communications to inform employees about performance reviews and timelines ~ Develop frequently asked questions and responses on benefits ~ Develop frequently asked questions and responses on compensation matters ~ Develop standard reporting templates for performance and rewards management ~ Document action plans and assessment results for poor performers ~ Formulate communications to share organisation's compensation and benefits policies with employees ~ Gather feedback from employees to evaluate effectiveness of performance management programmes ~ Identify data required for analysis of business and/or human resource issues ~ Implement data checks and cleansing techniques to address data availability and quality challenges ~ Implement employee compensation reimbursement plans ~ Liaise with organisation's vendors and partners on benefits and claims processing ~ Organise performance, rewards and other employee data in HR system ~ Prepare contract terms with external vendors for benefits offered ~ Prepare technical and business reports with the analytical findings ~ Review annual salaries report and income tax declaration forms ~ Review benefits claims against entitlements to ensure accurate disbursements ~ Review employer contributions reports ~ Review generated payroll reports ~ Suggest peer companies and competitors of the organization ~ Verify that submitted claims are covered under organisation's benefit schemes"
43,d440f25b7737c0d4d6c9029e5328340c,https://www.mycareersfuture.sg/job/full-stack-developer-equity-infrastructure-gic-d440f25b7737c0d4d6c9029e5328340c,Full Stack Developer - Private Equity & Infrastructure,Permanent,GIC PRIVATE LIMITED,"CAPITAL TOWER, 168 ROBINSON ROAD 068912",Middle Management,Information Technology,5000,10000,Monthly,01 Feb 2019,0,0,0,1,"Full Stack Web Developer/Lead (Associate/AVP/VP) Investment Services for Private Equity & Infrastructure, Economic & Investment Strategy The Technology Group (TG) is a key enabler to keep our business moving forward and is constantly exploiting state-of-the-art information technologies to enhance GIC’s ability to be the leading global long-term investment firm. We aim to provide users with empowering and transformational capabilities, and to create an inclusive, innovative and integrated work environment. This is an opportunity to join GIC as a Full Stack Web Developer/Lead (Associate/AVP/VP). This role is embedded in an integrated team that provides investment services for all private market investment activities.   Exposure opportunities  You will play a key role, building and supporting Analytics systems used directly by the Front Office investment professionals and senior management As a person with strong analytical skills, you will use your technology know-how to bring value directly to the business. You will also be exposed to end-to-end investment processes, learning valuable business domain knowledge. You will participate in fast-moving agile projects and have the opportunity to work with modern technologies, such as ReactJS, .NET Core. You will also have the chance of exploring emerging technologies. As an excellent team player with a collaborative mind-set, you will work directly with investment professionals at different levels. You will also work alongside experienced professionals across our extended Technology team in GIC as well as have exchanges with other industry partners. "," Bachelor’s Degree in Information Technology, Computer Science or equivalent. Programming skills or work experience in C# or similar development languages Development experience in any JavaScript web frameworks (such as ReactJS, AngularJS or Vue.js) Strong collaboration skills, ability to partner and work effectively across teams and with business stakeholders Good communication skills, ability to articulate technology concepts, drive discussions on requirements with stakeholders Experience in business analysis, solutioning and end to end project management is required for VP hires.  If you are interested, please submit your job application to the following link: https://career10.successfactors.com/sfcareer/jobreqcareer?jobId=5543&company=gicprivate&username=  "
44,9a995edbf0fbbbb47bd9067675910b36,https://www.mycareersfuture.sg/job/data-scientist-keysight-technologies-singapore-9a995edbf0fbbbb47bd9067675910b36,Data Scientist (Contract),"Contract, Full Time",KEYSIGHT TECHNOLOGIES SINGAPORE (SALES) PTE. LTD.,,Professional,"Engineering, Information Technology",3870,6450,Monthly,01 Feb 2019,1,0,0,0,"Job Description   At Keysight, we help companies address their toughest challenges with precision and confidence. We offer the most precise electronic measurement tools in the industry, with advanced software to match. Our employees leverage their insight and passion to revolutionize electronic measurements and make a difference in the world. Keysight Singapore Center of Excellence is launching a new software development center in Singapore, chartered to create a new generation of software for electronic product design and test for customers around the world. With strong collaborations & partnerships with local universities here in Singapore, the center will attract top local graduates from computer science, artificial intelligence, systems programming and electrical/electronic/computer engineering schools. You can join our mission to make a real difference through rapid solution development, turning measurement science IP into killer apps, delivered into an always-on, everywhere available, app store ecosystem. Being part of the software development team, you will work in an AGILE team to turn innovative ideas into robust software, and solve complex design and implementation problems. You will also investigate new technologies and applications, and apply modern software engineering practices such as design reviews, code review, unit testing and usability testing. Responsibilities   Be part of the taskforce to support and contribute to Keysight’s Industry 4.0 vision Work with distributed teams in developing predictive systems, create efficient algorithms to draw intelligence from existing data and Internet of Thing (IoT) datasets Work closely with our manufacturing and supply chain domain experts to evaluate, design and implement statistical analyses of manufacturing data to create analytic metrics and tools Working through big data problem from data mining, data cleaning, building concept of the model to support decision making through various data analytics techniques and algorithm development involving unstructured and noisy data. Establish scalable, efficient, automated processes for model development, model validation, model implementation and large-scale data analysis Generate deep insights through the analysis of data and understanding of operational processes and turn them into actionable recommendations Collaborate with others in the organization to develop new ideas and brainstorm potential solutions ","Job Qualifications    Masters/PhD in Engineering, Computer science, Statistic, Mathematics or related quantitative fields Deep understanding of statistical and predictive modelling concepts, machine learning approaches, clustering and classification techniques, and recommendation and optimization algorithms. Preferred experience with a wide variety of predictive modeling, machine learning, data mining, statistical, text mining, and optimization algorithms (including tools such as R) Keen desire to solve business problems; understand patterns and insights within structured and unstructured data. Experience with databases in general (Hadoop, NoSQL DBs) and visualization tools Excellent critical thinking skills, combined with the ability to present findings clearly and compellingly verbally and in written form. Able to translate technical details, observations and results into business language Innovative, strong analytical and algorithmic problem solvers. Ability to influence and become a trusted advisor Nice to have experience with Apache Spark and Scala "
45,596d0b38b177d38099674c4eb0f40acc,https://www.mycareersfuture.sg/job/lead-customer-analyst-ntuc-enterprise-nexus-co-operative-596d0b38b177d38099674c4eb0f40acc,Lead Customer Analyst,Full Time,NTUC ENTERPRISE NEXUS CO-OPERATIVE LIMITED,,Manager,Information Technology,5000,12000,Monthly,01 Feb 2019,0,0,0,0,"The role of Lead Customer Analyst, FairPrice will be to apply advanced data analytic techniques (statistical modelling, data visualisation, and marketing optimization) to solve complex problems, support decision making and design data solutions for Fairprice. The Role: • Identifying customer segments and understanding their buying behavior, demographics and life stage • Effective identification of potential pockets of growth, new customer segments and develop specific strategies to chase these growth pockets • Uncover insights, both descriptive and predictive, for the end-to-end customer management journey, i.e. acquisition, utilisation, retention and reactivation • Drive targeted campaigns by working with marketing and segment team to identify target group to increase revenue per segment, penetration rate of product and overall engagement level • Understand customer life time value and channel marketing spend to the most appropriate group of customers to maximize return on investment • Map out customer purchase journey and identify the various touch points. Improve customer experience at each of the touch points through the use of analytics • Drive transformational change within the organization towards customer centricity and data driven decision making","The Candidate • Must be highly technical/strong software engineering competencies. Focus with be on people with experience dealing with large datasets with heavy transaction platforms. • Demonstrated hands-on experience of optimization engines for targeting marketing offers. • Experience working within data science teams, and product teams utilizing the latest software including capable experience with latest tools like SAS, R, HADOOP, PYTHON, SPARK, HANA, TABLEAU, and other latest data platforms. • Preference given to people who have worked on retail and new e-biz enabled models and how data is architected in these areas. Qualifications • Degree in Business/ Statistics/ Mathematics/Computer Science with minimum 8-10 years of relevant experience in database marketing, customer data analytics • Preferably with working experience in commercial/operational decision making. Preference will be given to candidates with proven experience of personally worked on solving mathematical problems on optimization, dynamic pricing, and rank ordering engines. • Clear structural thinking, and strong curiosity for problem solving • Good interpersonal, communication and project management skills"
46,7bdc4437ab3bc571d3bce9fa15b4e287,https://www.mycareersfuture.sg/job/business-analyst-ntuc-enterprise-nexus-co-operative-7bdc4437ab3bc571d3bce9fa15b4e287,Business Analyst,Full Time,NTUC ENTERPRISE NEXUS CO-OPERATIVE LIMITED,,"Manager, Senior Executive",Information Technology,4000,10000,Monthly,01 Feb 2019,0,0,0,0,"Overall Job Description: Working closely with the Head of Marketing Analytics and the Head of Digital Marketing, this person will be responsible for business insights research, sales analysis and forecasting with the ability to translate data for setting and supporting sales strategies. The initial focus will mainly be FairPrice On (FPON). The Role • Run, analyse and document statistics reports, ensuring information integrity to support business strategies • Lead and own the analysis of highly complex data sources, identifying trends and patterns in data and make recommendations based on analysis results • Generate insights in form of revenue/growth prediction, trends and anomalies, customer segmentation, conversion optimization, monthly reports, etc. • Strategise with the Marketing Manager to establish KPI and measurement benchmarks for customer acquisitions with acceptable ROI on costs • Strategise with the Marketing Manager to champion media measurement and attribution, working towards the goal of developing a suitable attribution model for FairPrice campaigns.","The Candidate This individual will be someone who is a numbers-person, with exceptional analytical skills and a passion for crunching data to support business strategies. Candidate should be data-driven, meticulous, performance driven and solutions-orientated. Qualifications • 3-8 years of working experience in a data analyst role in business intelligence platforms preferred. • Bachelor’s degree in Computer Science, Information Systems or Data Analytics • 1-2 years of experience working with SQL. Hands-on experience managing large data sets • Excel modelling proficiency for large data sets, pivot tables, macros (preferred) • Working experience with scripting languages like R, Python, etc (preferred) • Data visualisation skill on Tableau, PowerPoint graphics and reports • Working knowledge of Multi-channel attribution, Web Analytics • Working knowledge of Google Adwords, Optimize, SEO and SEM, remarketing, retargeting, programmatic media buying and social media advertising tools – Facebook, Instagram, LinkedIn, YouTube will be an advantage • Excellent interpersonal communication and analytical skills • Team player and ability to collaborative and work effectively with a variety of stakeholders • Highly customer-focused with strong critical thinking capabilities • Motivated, meticulous and results oriented, with ability to handle and navigate ambiguity • Resourceful problem solver who can think out of the box • Passionate for digital marketing, staying abreast of digital trends, emerging ad-tech/mar-tech and social media development"
47,d3a838356dbff798cea56b582f9e97c3,https://www.mycareersfuture.sg/job/sr-manager-business-performance-strategic-planning-operations-amgen-singapore-manufacturing-d3a838356dbff798cea56b582f9e97c3,"Sr. Manager, Business Performance, Strategic Planning and Operations",Permanent,AMGEN SINGAPORE MANUFACTURING PTE. LTD.,1 TUAS VIEW DRIVE 637026,Middle Management,Healthcare / Pharmaceutical,15000,16000,Monthly,01 Feb 2019,0,0,0,1,"This is a dynamic leadership role as the Chief of Staff reporting to the Amgen Singapore Manufacturing (ASM) Site Vice President and serves as the senior manager of the Business Performance organization with focus on Strategic Planning and Operations. This individual will serve as a member of the site leadership team. The ASM Business Performance group is responsible for cross functional delivery of business strategy, operational excellence, risk management, data strategy and analytics, portfolio management, and performance of the site leadership team. The leader will oversee a team that drives business analysis, reporting on ASM performance, site Operational Excellence goals and strategies, portfolio and project management, manages senior leadership and project governance meetings, site risk management and business continuity plans, advances data strategy and application, and enables key cross-functional initiatives. This leader will interact with all disciplines at the operating site as well as be a key conduit with the network to ensure ASM is connected and engaged globally.","Job Responsibilities  Team Leadership - Provide operational leadership in team meetings and identify cross-functional implications, risks and issues. Ensure strategic alignment between teams and ASM site goals. Drive effective team operations, including strategy and goal setting, and operating reviews. Continuous Improvement – Lead site efforts to drive continuous improvement and deploy industrial engineering and Operational Excellence capabilities to the critical areas in the value chain in need of productivity improvement. Leverage ASM and network resources to build a continuous improvement culture and operating model. Portfolio Management – Develop and sustain site portfolio and ensure ongoing prioritization discussions and review occur to drive focus and delivery of highest value efforts. Project Management - Oversee project managers responsible for major cross functional projects. The team will manage all aspects of projects/processes: planning, estimating, scheduling, monitoring, risk management, execution, and closing. Maintain a master project plan and schedule for assigned projects. Translate team plans into actionable and measurable tasks. Follow up on action items from team meetings. Risk Management and Business Continuity – Develop and maintain site risk strategy and risk analysis. Conduct site and functional team-level risk assessment and scenario planning to support team issues. Proactively drive development of contingency and/or risk-mitigation plans Data Advancement – Drive data analytics strategy for the business, execute and deploy tools and best practices to leverage data for more proactive and predictive approaches. Develop communication materials (e.g. operating reviews), and communicate analysis and recommendations to senior management Develop business cases on new investments and continuous improvement opportunities considering strategic, financial, and risk tradeoffs. Perform business and resource forecasting, financial modeling, and trend analysis to drive decisions Support business performance organization on site or cross-functional initiatives (e.g. lean transformation, run rate increase projects) Staff development – Lead a diverse group of individuals across multiple disciplines to deliver value to the business while advancing staff skills and capabilities.  Key Qualifications  Bachelors degree in engineering, science, or business management with 10+ years of related experience in the life sciences industry Masters degree in engineering, science, or business management with 8+ years of related experience in the life sciences industry 5+ years as a project manager for cross-functional teams Demonstrated understanding of life sciences industry, and drug development and commercialization Proven leadership skills with a demonstrated ability to influence multiple functions across the organization Strong business acumen, high-level strategic thinking and strong analytical skills  Strong quantitative skills including forecasting and financial analysis Self-starter with a high-level of comfort with ambiguity and complexity Ability to communicate and collaborate cross-functionally in an organization Demonstrated ability to structure, pragmatically scope, and solve complex problems Strong writing, presentation, and interpersonal skills with ability to translate into executive level communication Proven leadership skills and team management experience Ability to multi-task while consistently delivering high quality results Strong working knowledge of MS Excel, MS Project, PowerPoint, Spotfire, and Smartsheets Skilled in lean manufacturing concepts, operational excellence, and continuous improvements approaches "
48,b757577b79e13879bcc5f1378e48c39d,https://www.mycareersfuture.sg/job/staff-technical-support-analyst-bmc-software-asia-pacific-b757577b79e13879bcc5f1378e48c39d,Staff Technical Support Analyst,"Permanent, Full Time",BMC SOFTWARE ASIA PACIFIC PTE LTD,"PARKVIEW SQUARE, 600 NORTH BRIDGE ROAD 188778",Professional,Information Technology,5500,7500,Monthly,01 Feb 2019,0,0,0,1,"BMC is seeking a technical, customer focused Control-M Workload Automation Staff Technical Support Analyst to provide technical problem solving and support to customers. The successful candidate will also act as a customer advocate inside the company. The Technical Support Analyst is responsible for working directly with customers to diagnose, troubleshoot, debug and resolve product issues of complex scope. You would be joining a world class support organization while learning IT Automation integration for some of the latest technology’s such as Big Data, Cloud-based platforms, mobile applications and business analytics. This position is integral to adding value to our customer relationships via the skills and service we provide. We believe in delivering world class customer service and proactive user assistance.  Job Responsibilities • Providing courteous, efficient, and professional technical support over the phone and email to customers across a broad range of industries. • Work closely with the customer on complex Windows or Linux/Unix system-level problems as well as application layer issues and network communications. • Providing support case follow-up until resolution and ensuring proper escalation procedures are followed for unresolved issues. • Ensure customer success and satisfaction by providing solutions to complex technical problems remotely via web and phone support. • Managing customer expectations and competing priorities. • Troubleshooting: the use of sophisticated tools, analysis of logs, and coordination of all available  resources to resolve issues. Where practical, the ability to duplicate a customer's specific software  error in order to define the cause. • Conducting research on customer incidents, and other customer support related projects as assigned. • Using your written communication skills to update case documentation as well as using, modifying and creating knowledge base articles. • Escalating issues and working directly with Research and Development to resolve complex support problems. • Occasional weekend duties required. • Provide Introductory Training to customers when called upon. • Validates, documents and escalates design, reliability and maintenance problems or bugs. • Builds and maintains appropriate test environments. • Prepares for and supports new products within technical area - may include product install and documentation review. • Test resolutions provided by development and prepare for release to customers.","The successful candidate will have a combination of the following:  • Customer-facing technical support experience supporting software products, ideally in a software company environment, with demonstrable knowledge of support processes and procedures, as well  as a proven ability to design practical solutions to technical support problems. • Highly motivated, independent and flexible, with strong team-directed abilities and a collaborative, ‘whatever it takes’ attitude. • Familiarity with IT Automation tools such as Control-M Workload Automation a plus • Experience with one or many of the following:  o Linux/Unix experience  o Microsoft Windows Administration Experience  o SQL Experience  • Strong verbal and written communication English language skills and the ability to interpret and answer complex technical questions, provide customer follow-up and contribution to knowledge base content.  Additional Valued Skills: • Problem Solving • Presenting Technical Information • Process Improvement • Software Testing • Asian language skills • Unix System Administration • Windows System Administration • SQL knowledge • Database infrastructure • Network Communication • Firewalls and DMZ’s • SSL • LDAP • Hadoop (Big Data) • SAP • FTP • Virtual Machines • Java application servers • Amazon Web Services, Microsoft Azure • Storage Management • Oracle, MS-SQL Server, PostgreSQL Databases • Backup and Recovery • High Availability/Disaster Recovery • Unix and Microsoft Windows Clusters • Ability to read debug logs • Knowledge of shell scripting languages such as Korn Shell, PowerShell, Perl or Bash"
49,5f8c16a097318bbb021baa27a1894d7c,https://www.mycareersfuture.sg/job/software-engineer-6estates-5f8c16a097318bbb021baa27a1894d7c,Software Engineer,Full Time,6ESTATES PTE. LTD.,79 AYER RAJAH CRESCENT 139955,Professional,Information Technology,4000,8000,Monthly,01 Feb 2019,0,0,0,0,"We're looking for the right individual who has the passion and desire to crack the code for this very hot space in AI and Big Data. 6Estates engineers build tools and solutions that ensure the delivery of high quality software for our stakeholders.  For someone who wants to learn and grow, this role provides you the unique opportunity to work along with all the experts of different fields.  As a Software Engineer, you will work with team of talents to design, architect, and help to maintain Enterprise solutions on the big data analytics platform. You will also touch on researching, introducing new technologies and ideas and integrating your amazing innovations and algorithms into our production systems.","  Minimum Bachelor’s degree in Computer Science.    Excellent implementation skills in Java, Python, Nodejs,C or  C++ .    Expert knowledge of Linux/Unix programming.   Experience in MySql, Redis or other databases.    Experience in Spring, Hibernate or other Java Frameworks is a plus   Good communication skills - Fluent in Chinese and English  "
