,Job ID,URL,Job Title,Job Type,Company Name,Job Location,Job Level,Job Industry,Min Salary,Max Salary,Salary Paid,Date Posted,Contract,Internship,Temporary,Permanent,Job Description,Job Requirements
0,2a8b2d06e28c95bc8d5778e70e6a5b75,https://www.mycareersfuture.sg/job/data-engineer-intellect-minds-2a8b2d06e28c95bc8d5778e70e6a5b75,Data Engineer,Full Time,INTELLECT MINDS PTE. LTD.,"ANSON CENTRE, 51 ANSON ROAD 079904",Executive,Information Technology,5000,7000,Monthly,29 Jan 2019,0,0,0,0,"Company Overview Intellect Minds is a Singapore-based company since 2008, specializing in talent acquisition, application development, and training. We serve BIG MNCs and well-known clients in talent acquisition, application development, and training needs for Singapore, Malaysia, Brunei, Vietnam and Thailand. Our client is an establish company a, leader within their industry, is now looking for a Data Engineer to join their esteemed organization. Job Descriptions: Responsibilities • Create and maintain optimal data pipeline architecture. • Assemble large, complex data sets that meet functional / non-functional business requirements. • Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL, Cassandra, Hadoop and other Big Data Technologies. • Build data pipeline on premise and on Google Cloud Platform. • Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics. • Work with stakeholders including the Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs. • Work with data and analytics experts to strive for greater functionality in our data systems.","Qualifications • Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. • Experience building and optimizing ‘big data’ data pipelines, architectures and data sets. • Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement. • Strong analytic skills related to working with unstructured datasets. • Build processes supporting data transformation, data structures, metadata, dependency and workload management. • A successful history of manipulating, processing and extracting value from large disconnected datasets. • Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores. • Experience supporting and working with cross-functional teams in a dynamic environment. • We are looking for a candidate with 5+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. They should also have experience using the following software/tools: • Experience with big data tools: Hadoop, Spark, Kafka, etc. • Experience with Google Cloud Platform esp. Google Pub-Sub, Big Query, Data Proc, Data Flow, Cloud Storage. • Experience with IoT & Time series data. • Experience with relational SQL and NoSQL databases, including Postgres and Cassandra. • Experience with stream-processing systems: Storm, Spark-Streaming, etc. • Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc. All successful candidates can expect a very competitive remuneration package and a comprehensive range of benefits. Interested Candidates please submit your detailed resume online. To your success! The Recruitment Team Intellect Minds Pte Ltd (Singapore)"
1,c725fe7c4f6e216e2364592f2a9f0e26,https://www.mycareersfuture.sg/job/avp-data-scientist-business-analytics-consumer-banking-group-dbs-bank-c725fe7c4f6e216e2364592f2a9f0e26,"AVP, Data Scientist, Business Analytics, Consumer Banking Group (180004XI)",Unknown,DBS BANK LTD.,,Unknown,,0,0,Monthly,None,0,0,0,0,None,None
2,bcc9d9ab10c36f2a126b880d8a3a77b1,https://www.mycareersfuture.sg/job/research-associate-nanyang-technological-university-bcc9d9ab10c36f2a126b880d8a3a77b1,Research Associate (Computational Linguistics),"Contract, Full Time",NANYANG TECHNOLOGICAL UNIVERSITY,"NANYANG TECHNOLOGICAL UNIVERSITY, 50 NANYANG AVENUE 639798",Non-executive,Sciences / Laboratory / R&D,4000,5500,Monthly,29 Jan 2019,1,0,0,0,"The School of Humanities invites application for the position of Research Associate (Computational Linguistics). Responsibilities LEAP Lab at Nanyang Technological University has recently been awarded a grant to investigate the nature of multi-lingual language mixes in Singapore during the early stages of language acquisition in Singapore.  We are looking for a research associate to work on technical and computational aspects of the project. This will include: big data approaches to complex linguistic datasets, design and analysis of linguistic databases, design of advanced scripting for data analysis of behavioural and brain imaging data, design and implementation of in-house app development and scripts for experimental studies. Contributing to the technical aspects of day-to-day running of the lab will also include…  Creating and maintaining a participants’ database Managing and storing data Managing the teams’ shared folder system Administration and maintenance of an online server ","Job Requirements  At least a Masters in Psychology, Cognitive Science, Linguistics, Computer science or equivalent work experience Experience in big data analytics or high-level computational linguistics A friendly manner, excellent communication (verbal & written English) and interpersonal skills High degree of responsibility and maturity Ability to work independently and in a team environment. Interest in computational linguistics Familiarity with Unix, Windows, Mac OS; standard office software Task-orientation, excellent organisational skills, attention to details and accuracy.  Desirable characteristics Candidates should highlight relevant previous experiences in a cover-letter, where they are encouraged to note their area of expertise (e.g., doctoral dissertation, relevant post doctoral research) and experience in any of the following domains:  Designing and managing databases Statistical data analysis Commitment to Open Science practices Web design/game design/app design Cloud-based team collaboration tools Translation/transcription/teaching  Please send questions and expressions of interest to bliplab@ntu.edu.sg We regret only shortlisted candidates will be notified."
3,52a9c40c842ec8393282fdc31a1af874,https://www.mycareersfuture.sg/job/big-data-engineer-ernst-young-advisory-52a9c40c842ec8393282fdc31a1af874,Big Data Engineer (Financial Services),Full Time,ERNST & YOUNG ADVISORY PTE. LTD.,1 RAFFLES QUAY 048583,Middle Management,"Consulting , Banking and Finance, Information Technology",8000,16000,Monthly,28 Jan 2019,0,0,0,0,"We are the only professional services organisation who has a separate business dedicated exclusively to the financial services marketplace. Join Financial Services (FSO) and you will work with multi-disciplinary teams from around the world to deliver a global perspective. Aligned to key industry groups including asset management, banking and capital markets, insurance and private equity, we provide integrated advisory, assurance, tax, and transaction services.   The opportunity  As part of our Data and Analytics team of Financial Services Advisory practice you will work with multi-disciplinary teams to support clients in a wide range of big data initiatives aiming to generate and present new, useful and actionable insights. You will have the opportunity to work and take responsibilities in challenging engagements, gaining exposure to clients in various sectors both in Singapore and in the APAC region.    Your key responsibilities  Participation in large-scale client engagements. Contribution towards, or even leading, the delivery of innovative and engaging big data solutions. Understanding of business and technical requirements, provision of subject matter expertise, and implementation of big data engineering techniques. Conducting of data discovery activities, performing root cause analysis, and making recommendations for the remediation of data quality issues. Putting into practice good organizational and time management skills, with the ability to prioritize and complete multiple complex projects under tight deadlines. ","Skills and attributes for success  Leverage technology to continually learn, improve service delivery and maintain our leading edge best practices Strong presentation skills and proficiency in the use of PowerPoint, Word and Excel Good understanding of financial services industry    To qualify for the role you must have  Understanding or even practical experience of handling and manipulating semi-structured and unstructured data. Deep understanding of big data technology, concepts, tools, features, functions and benefits of different approaches available. Ability to deploy, manage, and administer Hadoop-based components. Ability to design, build, install, configure and support Hadoop-based applications. Experience with one of Java, C# or C++. Hands-on experience with HiveQL. Familiarity with data ingestion tools such as Kafka, Flume and Sqoop. Knowledge of hadoop related workflow/scheduling tools such as Oozie. Understanding of data modeling (ER models) techniques. Experience with investigating and handling data quality issues. Minimum 8 years hands-on experience in two (2) or more of the above areas. A Bachelor or Masters degree in Computer Science, Engineering, or other related fields.   Ideally, you’ll also have  Design and implementation experience of data models in physical form in one (or more) of the leading RDBMS platforms such as SQL Server, Oracle, IBM DB2/Netezza, Teradata, etc. Experience with Business Intelligence or statistical analysis tools and techniques. Strong communication and business relationship skills to effectively explain analysis, both verbally and in writing, to others and translate analysis into a clear business plan. Strong time management and organizational skills to gather and make use of data (both internal and external).   What we look for Highly motivated individuals with excellent problem-solving skills and the ability to prioritize shifting workloads in a rapidly changing industry. An effective communicator, you’ll be a confident team player that collaborates with people from various teams while looking to develop your career in a dynamic organization.   What working at EY offers We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. We also offer you:  Support, coaching and feedback from some of the most engaging colleagues around Opportunities to develop new skills and progress your career The freedom and flexibility to handle your role in a way that’s right for you    About EY As a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2020 a reality.   If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible. Join us in building a better working world. Apply now.  "
4,46e81b9e0a43e56b9af6161855b379f1,https://www.mycareersfuture.sg/job/big-data-architect-sciente-international-46e81b9e0a43e56b9af6161855b379f1,Big Data Architect (JD#4848),"Permanent, Full Time",SCIENTE INTERNATIONAL PTE. LTD.,"THE SIGNATURE, 51 CHANGI BUSINESS PARK CENTRAL 2 486066","Middle Management, Manager",Information Technology,8000,10000,Monthly,28 Jan 2019,0,0,0,1,"Our client is looking for an experienced Data Architect who will be responsible to design and implement Big Data Platform, providing leadership for data management at the enterprise level such as data modeling, metadata management and infrastructure.","Mandatory Skill-set  At least Degree in Computer Science or Information Technology; Minimum 10 years of experience in data management involving architecture, design and development of data management solutions and data governance policies/standards; Experience in implementation of Big data platform and datawarehouse projects; Should be familiar with industry architectural standards like TOGAF, FEA and/or Zachman; Expertise Enterprise Metadata Management, Object Management Group standards & Information management program life cycle, process modeling, semantic modeling and data modelling; Familiarity with industry data models such as IBM BDW and IIW, Teradata FSLDM, and SAS IIA; Solid knowledge of the organization's industry and its challenges in the use of data and information; Proven track record in successful end-to-end data warehousing project implementation experience; Adept in leveraging latest technologies, best practices and lead in formation of effective information analytics expertise; Comfortable to tackle complex and technical development and learn new technologies to support business solutions; Ability to help define and articulate the enterprise data management strategic vision and translate it into tactical implementable steps to senior stakeholders.  Desired Skill-set  TOGAF certified; Financial services industry experience specifically in risk, finance and customer.  Responsibilities  Lead and facilitate techno-functional design workshops & project implementation involving big data platform,data analytics solutions & data visualisation ; Conduct Proof of Concepts (POCs),develop and evaluate technical solutions in area of AI and Analytics; Establish and govern of checklists/standards/guidelines, processes, frameworks, tools and best practices for process modeling, semantic modeling, and logical and physical data modeling; Manage the standard information architecture best practices in accordance with enterprise’s overall architecture; Manage and understand data flows/lineage of operational data sources to analytical data sources; Review and approve project designs including data architecture, models and ETL including creation of ETL specifications/documentation; Development and maintenance of corporate data architecture, data management standards and conventions, data dictionaries and data element naming standards and conventions for multiple computing environments; Work with Information Security to ensure proper classification and protection of enterprise data; Continuously keep abreast, evaluate, research alternative/better solutions for efficient and cost effective data solutions for improved data integrity; Explore emerging technologies to assess their relevance/viability in solving on-going information management challenges e.g.Cloud Computing, Big Data, Datavisualization/masking, Enterprise business metadata management and Data SOA.  Should you be interested in this opportunity, please send your updated resume to apply@sciente.com at the earliest. Confidentiality is assured, and only shortlisted candidates will be notified. EA License: 07C5639    "
5,6c3a1bf260370cb654add1b1787372af,https://www.mycareersfuture.sg/job/openings-big-data-saksoft-6c3a1bf260370cb654add1b1787372af,Openings for  Big data,Permanent,SAKSOFT PTE LIMITED,"SIM LIM TOWER, 10 JALAN BESAR 208787",Senior Executive,Information Technology,6000,10000,Monthly,28 Jan 2019,0,0,0,1," Experience in supporting Big Data initiatives in areas such as cloud  computing, data analytics and distributed computing Should have good experience on Spark, SQL Experience in network integration and maintenance, and appreciation othe operational concerns affecting network implementations  Good understanding of network security such as hardening and functionalities of firewalls and intrusion prevention/detection systems; Familiar with hosting preparation in data centres to support system implementation activities; andWorking knowledge of server and storage technologies, standards and best practices involving set-up and virtualisation of Windows ","Must have Skills: 1.       HDFS 2.       HIVE 3.       Spark  with Scala or Java – prefer Scala 4.       SQl 5.       Shell scripting 6.       Experience: 3-5 years Nice to Have: Informatica BDM or at least willing to learn Banking experience Others: Programming background, team players, good"
6,5731c18be188d7d1f80a840a834ad207,https://www.mycareersfuture.sg/job/data-scientist-singapore-power-5731c18be188d7d1f80a840a834ad207,Data Scientist,Full Time,SINGAPORE POWER LIMITED,"SP GROUP BUILDING, 2 KALLANG SECTOR 349277",Professional,Information Technology,4000,8000,Monthly,28 Jan 2019,0,0,0,0,"Why Work for Us We Power the Nation.  Make the most of your talents and develop products that can create impact on a national scale. We are an in-house software team, assembled to move with speed and deliver with quality.   We Build Reliable Solutions. For Customers, Company and Country.  You will be part of the Digital Technology Team and together, you will innovate, create, and deploy digital products that will empower more than 3,800 employees within SP Group and improve the quality of life for the 1.5 million commercial, industrial and residential customers that SP Group serves. We build solutions that enable sustainable high quality lifestyles and help consumers save energy and cost, as well as supporting national goals for a sustainable livable city. Now, imagine the impact you can create.   SP Digital Technology aims to use cutting edge technologies to help SP Group to revolutionize future utility/energy industry by providing better services and more efficient energy solutions to our customers. Data charter consists of data engineering, business intelligence, data science/machine learning teams. We oversee and drive all data and AI initiatives for SP group. It includes the following  Build next generation data infrastructure to collect/process/analyze different data from consumers, assets, energy Discover the business problems/opportunities and design data-driven solutions to improve operation/business/customer experience Uncover the actionable insights for multiple stakeholders to drive business growth    The mission of data team is to drive SP to become data-driven company and create data-driven products. As a data team member, you will be responsible for designing, developing and deploying data-driven solutions to create business value. We are looking for a Data Scientist who will help us discover patterns hidden in large amounts of data and make decisions from different sources. Your primary focus will be in applying data wrangling and machine learning techniques to build high quality anomaly detection, prediction and recommendation systems integrated with our products. You will work closely with customers and data engineers to understand the business requirements, in-house infrastructure and help build solutions for different business users.   What You'll Do  Understand business logics from domain experts and come up with reasonable targets for data projects Data fetching from different sources such as database, big data lake running on hadoop/hive Enhancing data by building autonomous pipelines from different sources Data wrangling by preprocessing, cleansing, and feature engineering Applying state-of-art machine learning techniques such as RNN, CNN for predictions and anomaly detections Build agile data products in a team of data engineers, scientists and business users Doing ad-hoc analysis and presenting results in clear manner Guide junior team members on their projects Help find opportunities from different business partners ","What You'll Need We are looking for Passion and Proficiency  Data-oriented personality and software engineering practices Excellent understanding of machine learning models, their pros and cons Experience with common data science toolkits such as Python/R Experience with data visualization tools such as D3.js, matplotlib and etc Proficiency in using query languages such as SQL, Hive Good understanding of statistics, such as distributions, A/B testing, model overfitting/underfitting Experience with one of deep learning libraries such as Tensorflow, Keras, Pytorch, CNTK, MXNet etc Master of Computer Science/Engineering, Applied Mathematics or other engineering related area "
7,b8f943fb05cb5ef1ec504e530dc425f3,https://www.mycareersfuture.sg/job/senior-data-scientist-singapore-power-b8f943fb05cb5ef1ec504e530dc425f3,Senior Data Scientist,Full Time,SINGAPORE POWER LIMITED,"SP GROUP BUILDING, 2 KALLANG SECTOR 349277",Middle Management,Information Technology,8000,14000,Monthly,28 Jan 2019,0,0,0,0,"Why Work for Us We Power the Nation.  Make the most of your talents and develop products that can create impact on a national scale. We are an in-house software team, assembled to move with speed and deliver with quality.   We Build Reliable Solutions. For Customers, Company and Country.  You will be part of the Digital Technology Team and together, you will innovate, create, and deploy digital products that will empower more than 3,800 employees within SP Group and improve the quality of life for the 1.5 million commercial, industrial and residential customers that SP Group serves. We build solutions that enable sustainable high quality lifestyles and help consumers save energy and cost, as well as supporting national goals for a sustainable livable city. Now, imagine the impact you can create.   SP Digital Technology aims to use cutting edge technologies to help SP Group to revolutionize future utility/energy industry by providing better services and more efficient energy solutions to our customers. Data charter consists of data engineering, business intelligence, data science/machine learning teams. We oversee and drive all data and AI initiatives for SP group. It includes the following  Build next generation data infrastructure to collect/process/analyze different data from consumers, assets, energy Discover the business problems/opportunities and design data-driven solutions to improve operation/business/customer experience Uncover the actionable insights for multiple stakeholders to drive business growth    The mission of data team is to drive SP to become data-driven company and create data-driven products. As a data team member, you will be responsible for designing, developing and deploying data-driven solutions to create business value. We are looking for a Data Scientist who will help us discover patterns hidden in large amounts of data and make decisions from different sources. Your primary focus will be in applying data wrangling and machine learning techniques to build high quality anomaly detection, prediction and recommendation systems integrated with our products. You will work closely with customers and data engineers to understand the business requirements, in-house infrastructure and help build solutions for different business users.   What You'll Do  Understand business logics from domain experts and come up with reasonable targets for data projects Data fetching from different sources such as database, big data lake running on hadoop/hive Enhancing data by building autonomous pipelines from different sources Data wrangling by preprocessing, cleansing, and feature engineering Applying state-of-art machine learning techniques such as RNN, CNN for predictions and anomaly detections Build agile data products in a team of data engineers, scientists and business users Doing ad-hoc analysis and presenting results in clear manner Guide junior team members on their projects Help find opportunities from different business partners ","What You'll Need We are looking for Passion and Proficiency  Data-oriented personality and software engineering practices Excellent understanding of machine learning models, their pros and cons Experience with common data science toolkits such as Python/R Experience with data visualization tools such as D3.js, matplotlib and etc Proficiency in using query languages such as SQL, Hive Good understanding of statistics, such as distributions, A/B testing, model overfitting/underfitting Experience with one of deep learning libraries such as Tensorflow, Keras, Pytorch, CNTK, MXNet etc Master or PhD of Computer Science/Engineering, Applied Mathematics or other engineering related area "
8,70514ddcfc716b097a258afda3d2d3a9,https://www.mycareersfuture.sg/job/senior-software-engineer-isentia-brandtology-70514ddcfc716b097a258afda3d2d3a9,Senior software engineer,Permanent,ISENTIA BRANDTOLOGY PTE. LTD.,"LUZERNE, 70 BENDEMEER ROAD 339940",Professional,Information Technology,5000,7500,Monthly,28 Jan 2019,0,0,0,1,"About Isentia Isentia is the Asia-Pacific region's leading media intelligence company, providing over 6,000 clients with information and insights 24/7/365 across traditional and new media. Isentia has more than 1,400 employees across 15 countries filtering information from over 10,000 print, radio and television media outlets and over 250 million online conversations per month. Our talented people, innovative technology, comprehensive coverage and expert research provides the tools and insight to allow our clients to manage media relationships effectively, track and analyse issues of interest across all media, and discover and share valuable insights that drive smarter decisions.  Are you interested in Big Data, Machine learning, Social Media, News and Current Affairs? Do you have a passion for working with some of the biggest brands in Southeast Asia? Are you excited by consumer insights, big data and media analysis? Are you looking for a challenging and rewarding role with a gateway into Senior Management? Focused on creating a complex RESTful API layer for a highly scalable and distributed software system.    Our platform is based on a cutting-edge architecture which will be an extremely rewarding experience for developers who enjoy maximising the potential of technology.   Strong developers will find this an immensely rewarding opportunity.   Why work for us?  Cutting edge technology for a technology product company. Fast growing business with big future plans. Flexible, informal, start-up like environment. Competitive salary.  We all believe in the product we’re building so if you want to join a bunch of people passionate about their work then we’d like to work with you!  We are looking for candidate with 2 to 5 years’ experience.    Responsibilities  Build and deploy Restful services Design overall architecture of the web application. Maintain quality and ensure responsiveness of applications. Collaborate with the rest of the engineering team to design and launch new features. Maintain code integrity and organization. Converting designs into pixel perfect reusable visual components ",Technology skills:  Necessary skills:   Amazon Web Services Python RESTful API Design Elasticsearch     Good to Have:   Docker Kubernetes Java 
9,16990ae636d2a13d1d712e5fec513494,https://www.mycareersfuture.sg/job/software-engineer-isentia-brandtology-16990ae636d2a13d1d712e5fec513494,Software Engineer,Permanent,ISENTIA BRANDTOLOGY PTE. LTD.,"LUZERNE, 70 BENDEMEER ROAD 339940",Executive,Information Technology,3000,4000,Monthly,28 Jan 2019,0,0,0,1,"About Isentia Isentia is the Asia-Pacific region's leading media intelligence company, providing over 6,000 clients with information and insights 24/7/365 across traditional and new media. Isentia has more than 1,400 employees across 15 countries filtering information from over 10,000 print, radio and television media outlets and over 250 million online conversations per month. Our talented people, innovative technology, comprehensive coverage and expert research provides the tools and insight to allow our clients to manage media relationships effectively, track and analyse issues of interest across all media, and discover and share valuable insights that drive smarter decisions.  Are you interested in Big Data, Machine learning, Social Media, News and Current Affairs? Do you have a passion for working with some of the biggest brands in Southeast Asia? Are you excited by consumer insights, big data and media analysis? Are you looking for a challenging and rewarding role with a gateway into Senior Management? Focused on creating a complex RESTful API layer for a highly scalable and distributed software system.    Our platform is based on a cutting-edge architecture which will be an extremely rewarding experience for developers who enjoy maximising the potential of technology.   Strong developers will find this an immensely rewarding opportunity.   Why work for us?  Cutting edge technology for a technology product company. Fast growing business with big future plans. Flexible, informal, start-up like environment. Competitive salary.  We all believe in the product we’re building so if you want to join a bunch of people passionate about their work then we’d like to work with you!  We are looking for candidate with 2 to 5 years’ experience.    Responsibilities  Build and deploy Restful services Design overall architecture of the web application. Maintain quality and ensure responsiveness of applications. Collaborate with the rest of the engineering team to design and launch new features. Maintain code integrity and organization. Converting designs into pixel perfect reusable visual components ",Technology skills:  Necessary skills:   Amazon Web Services Python RESTful API Design Elasticsearch     Good to Have:   Docker Kubernetes Java 
