,Job ID,URL,Job Title,Job Type,Company Name,Job Location,Job Level,Job Industry,Min Salary,Max Salary,Salary Paid,Date Posted,Contract,Internship,Temporary,Permanent,Job Description,Job Requirements
1,34cc071e231bd2a7332f08689ec198b4,https://www.mycareersfuture.sg/job/database-administrator-oracle-sybase-hcl-insys-34cc071e231bd2a7332f08689ec198b4,DATABASE ADMINISTRATOR - ORACLE AND SYBASE,"Permanent, Full Time",HCL INSYS PTE. LTD.,"RB CAPITAL BUILDING, 22 MALACCA STREET 048980",Professional,Information Technology,5500,7000,Monthly,01 Feb 2019,0,0,0,1,"Oracle: Oracle RAC (Real Application Clusters) / ASM (Automatic Storage Management) / oracle Streams/Backup & Recovery  Has 5+ years experience in Oracle Database Management ( 9i/10g/11g/12c ) Experience in Backup / Recovery Hands on experience in Installation of high availability Oracle RAC environment (2/3/4 node clusters) Proven expertise in supporting Grid Infrastructure (Clusterware, ASM, Disk Groups), Private Network for Interconnect and Public Network (VIP, SCAN), OCR and Voting Disk, Cluster verify utility (cluvfy) Installation, Configuration and administration of Oracle Streams Troubleshooting of Performance and Tuning problems in Oracle database using tools like AWR, ASH, ADDM and manual scripts. Install, configure and manage Oracle on Unix & MicroSoft Windows. Provide continuous monitoring, troubleshooting, historical and real time performance monitoring of the Oracle in  24 X 7 environment Strong Experience of RMAN, Datapump Experience evaluating and installing new software releases, patches and system upgrades Knowledge and understanding of all aspects of database tuning: software configuration, memory usage, data access, data manipulation, SQL, and physical storage Experience developing and executing database security policies, procedures and auditing-experience with database authentication methods, authorization methods, and data encryption techniques Establish and maintain documentation and standards Work as part of a team and provide 24x7 support when required  -------------------------------------------------------------------------------------------------------------------------------------------- Sybase  Working in non-regular shifts if team needs in case of unforeseen scenarios. Providing administration for production and non-production environments Maintaining Sybase ASE servers while providing inputs on severity and troubleshooting to key stakeholders. Facilitating system implementations and processes this includes, monitoring and alerts, backup, recovery, performance tuning etc. Coordinating with internal users while supporting user requests on issues that includes, access control,  performance tuning. Capable to perform patching for DBs Capable to perform Sybase database setup, database upgrades, space management,  Experience in Backup / Recovery connectivity/security issues and database corruptions in a critical production environment Familiar in Unix system administration relevant to Sybase database management Experience in troubleshooting Sybase Replication problems Execute week-end planned tasks and  coordinate with App team 	  ","Oracle:  Has 5+ years experience in Oracle Database Management ( 9i/10g/11g/12c ) Oracle RAC (Real Application Clusters) / ASM (Automatic Storage Management) / oracle Streams/Backup & Recovery Install, configure and manage Oracle on Unix & MicroSoft Windows  Sybase:  Experience in Backup / Recovery connectivity/security issues and database corruptions in a critical production environment Familiar in Unix system administration relevant to Sybase database management Experience in troubleshooting Sybase Replication problems "
2,62ce48e08479c4ae191b2c138d8989ee,https://www.mycareersfuture.sg/job/principal-database-administrator-central-provident-fund-board-62ce48e08479c4ae191b2c138d8989ee,Principal Database Administrator (DB2 z / OS),Full Time,CENTRAL PROVIDENT FUND BOARD,"TOWER B NOVENA SQUARE, 238B THOMSON ROAD 307685",Unknown,"Information Technology, Public / Civil Service",,,,01 Feb 2019,0,0,0,0,"As trustee of the nation’s retirement savings, the Central Provident Fund (CPF) Board helps 3.8 million CPF members save for their retirement, healthcare and housing needs. Every CPF Ambassador plays a vital role in helping Singaporeans save for a secure retirement. So long as you have the passion and commitment to serve the public, you will find your niche in our big family. Information Technology IT systems form the backbone of our operations. We are looking for individuals with passion and IT expertise, to help us improve the delivery of our systems and services.  The Board’s IT systems support a high daily volume of financial transactions for CPF members. In addition to keeping the lights on, the Board also keeps pace with the external environment through innovation in its IT systems. Job Responsibilities:  Advise on database related matters, lead and manage medium to large sized database administration and operation functions Accountable for the confidentiality, integrity and availability of data assets and database services. Responsible for the design and implementation of database services, and the upkeep of database related policy, architecture and design artefact.  Job Requirements:  Minimally 12 years experience in database administration and data management technologies in DB2 z/OS and Oracle DB Expert knowledge in Database design, Data Maintenance and Database Security Good experience in troubleshooting and resolving database problems with sound knowledge in software development, system technology, middleware and backup & disaster recovery solutions preferred. Ability to facilitate issues with Development and Support A self-starter with drive to initiate change and raise the technical bar for continuous improvement Ability to respond to emergency situations on 24x7 basis  Seniority of appointment will commensurate with relevant work experience.",None
3,96c9fb7ba27abac37c23c8e3951b13db,https://www.mycareersfuture.sg/job/senior-database-administration-techcom-solutions-asia-pacific-96c9fb7ba27abac37c23c8e3951b13db,Senior Database administration,Permanent,TECHCOM SOLUTIONS ASIA PACIFIC PTE. LTD.,"SHENTON HOUSE, 3 SHENTON WAY 068805",Professional,Information Technology,5500,7000,Monthly,01 Feb 2019,0,0,0,1," Setup, deploy and maintain scalable, high availability database systems Perform and automate deployment and security hardening of database and related systems Perform systems/servers/storage/database/network management, in terms of setup, deployment, maintenance for optimized performance of database and whole system.  Key Responsibilties :-   Automate and build up scalable systems/environment and databases using latest technologies (e.g. Kubernetes) Automate security hardening in testing, deployment and production setup based on industrial best practices for databases and sub-systems Setup and maintain CI/CD, automated testing, development and delivery environments, especially for databases Writing scripts/programs for service monitoring and health check of all systems Day-to-day monitoring, backup, deployment and maintenance of all systems Perform application and operating system setup, deployment and maintenance Troubleshoot issues on systems Provide operating guidance, training and troubleshooting documents to internal and external parties. Automate and maintain orchestration of cloud platforms in software defined data centres Fine tuning of overall system performance and managing large clusters of servers Optimization of databases to achieve highest throughput and performance for production use Work with development team on database design and implementation "," Diploma/Degree in Electrical Engineering, Computer Science, Communications Engineering or equivalent Minimum 5 years in software development industry or server infrastructure setup. Minimum 3 years of experience in database administration & tuning, both in NoSQL and relational databases (e.g. MongoDB, MS SQL) Experience with at least one of the following Virtualisation Technology/Platforms: VMware, Xen, KVM, OpenStack, Cloud Stack, Azure Stack Experience with cloud orchestration, configuration management and auto-scaling techniques Thorough knowledge of networking, routers, switches, and WiFi setup. In-depth knowledge of storage technologies, such as NAS, SAN, SDS Experience with automation tools such as Salt/Chef/Puppet/Ansible Experience with load balancing setup for TCP/IP, HTTP, DNS, routings. "
4,0131866d718615d77bde0d344d9f317a,https://www.mycareersfuture.sg/job/associate-consultant-recruitment-eames-consulting-group-0131866d718615d77bde0d344d9f317a,Associate Consultant Recruitment,Unknown,EAMES CONSULTING GROUP (SINGAPORE) PTE. LTD.,,Unknown,,0,0,,None,0,0,0,0,None,None
14,b8c2127ec8984242f6785ae6043b116d,https://www.mycareersfuture.sg/job/senior-account-associate-brandon-soh-associates-pac-b8c2127ec8984242f6785ae6043b116d,Senior Account Associate,Full Time,BRANDON SOH & ASSOCIATES PAC,,Senior Executive,Accounting / Auditing / Taxation,2600,2800,Monthly,01 Feb 2019,0,0,0,0," Manage a portfolio of accounting clients Prepare and maintain full set of accounts for SME clients Prepare month-end schedules and pass adjusting entries Analyze and explain variances to clients Prepare GST returns Prepare monthly reporting packages for SME clients Utilise IT tools and database to assist in managing the portfolio Operate accounting software such as Million, Xero, Quickbook, MYOB, etc Liaise with clients, auditors and regulatory authorities Support team members in any other jobs Drafting of financial statements Perform tax computation Perform any ad hoc or admin duties as assigned ","~  Preferably Diploma or Degree in Business, Accounting, ACCA or equivalent Good command of English with ability to interact well with internal departments and external clients Self-motivated & a team player Good learning attitude Ability to work with large data set through software Preferably minimum 2 years of relevant experience Meticulous and organised. "
15,31433a73c56e98c3b68c87edf0def361,https://www.mycareersfuture.sg/job/project-manager-smrt-trains-31433a73c56e98c3b68c87edf0def361,Project Manager,Permanent,SMRT TRAINS LTD.,"MRTC HEADQUARTERS, 251 NORTH BRIDGE ROAD 179102",Manager,Information Technology,3850,7700,,01 Feb 2019,0,0,0,1,"The ideal candidate should have a passion for technology with very good attitude. Experience with ability to multitask, assimilate data, make decisions and prioritize complex work while paying attention to the details will be critical to your success. You will be directly responsible for the support and operations of our cloud services. Communication with end-users, vendors and co-workers in a clear and professional manner is an absolute must. Candidates must be willing to jump in and learn new tools and technologies in support of a very diverse set of customers. The candidate will use system analysis techniques and procedures, including consulting with users, to determine hardware, software, or system functional specifications.  Management and operation of Microsoft and other public and private Cloud technologies Involve in the installation, configuration and upgrade of any related IT infrastructure during project implementation Ensure industry best practices are in place for server, network, storage and cloud solutions. Confirm project requirements by understanding user requirements; conferring with others in the project team Supporting the Project Manager by identifying and managing project risk. Suggest and comply on project for technical specifications. Assist in projects charter, task list and procurement related process. Assist in planning, designing, and implementing stages during the project cycle Assist in process improvement and compliance strategies. Involve in site survey for network related projects Ensure projects status are updated regularly Manage and track Change Request. Perform User Acceptance Test, project documentation and document sign-off. Preparing specification documents and user guides for the users when require. Work closely with vendors and other team members to troubleshoot complex issues and document solutions. Tasks related to risk management and security compliance including vulnerability scanning, Software, OS, Database and application patching and upgrades, measured against SLAs. Complete data backup and restore tasks Manage assigned tickets to ensure SLA compliance and customer satisfaction. Provide root-cause analysis, contribute to knowledge base, and provide recommendations for continuous improvements to workflow, process, and technology. "," Bachelor of Science (BSc) Degree in Computer/Information Science. 2-5 years Systems Administration experience supporting enterprise datacentre /cloud solutions Experience and understanding with Cloud and Virtualization technologies Experience deploying High Availability solutions on operating systems and database Related technology certification preferred:       MCSA/RHCT     Server+, Network+, or Security+ certification   Experience supporting one or all of the following       Enterprise Systems – Exchange, Dynamics, Active Directory, etc.   Understanding of operating systems including, but not limited to:      Windows Server 2003, 2008, 2008 R2, 2012, 2012 R2, 2016    Red Hat Linux / CentOS Linux    Understanding of various services such as DNS, SMTP, SNMP, SSL and SSH.   Ability to provide and suggest IT solutions based on best practices. Good understanding of ITIL processes including Service Desk, Incident, Problem, Change and Configuration Management Committed to complete the tasks assigned based on the timeline. In depth understanding of IT infrastructure in terms of server, network, storage and cloud solutions Possess strong interpersonal and communication skills. Ability to work independently under pressure to meet system performance service levels. Self-motivating and excellent customer handling skills. Experience in creation of user guides and documentations. Capable to prioritize and control activities and deliver results within resource constraints. Ability to work effectively as part of a team. Able to work beyond office hours during project implementation stage. Expected to work on occasional rotational standby support duties within whole Infrastructure team. "
21,34cc071e231bd2a7332f08689ec198b4,https://www.mycareersfuture.sg/job/database-administrator-oracle-sybase-hcl-insys-34cc071e231bd2a7332f08689ec198b4,DATABASE ADMINISTRATOR - ORACLE AND SYBASE,"Permanent, Full Time",HCL INSYS PTE. LTD.,"RB CAPITAL BUILDING, 22 MALACCA STREET 048980",Professional,Information Technology,5500,7000,,01 Feb 2019,0,0,0,1,"Oracle: Oracle RAC (Real Application Clusters) / ASM (Automatic Storage Management) / oracle Streams/Backup & Recovery  Has 5+ years experience in Oracle Database Management ( 9i/10g/11g/12c ) Experience in Backup / Recovery Hands on experience in Installation of high availability Oracle RAC environment (2/3/4 node clusters) Proven expertise in supporting Grid Infrastructure (Clusterware, ASM, Disk Groups), Private Network for Interconnect and Public Network (VIP, SCAN), OCR and Voting Disk, Cluster verify utility (cluvfy) Installation, Configuration and administration of Oracle Streams Troubleshooting of Performance and Tuning problems in Oracle database using tools like AWR, ASH, ADDM and manual scripts. Install, configure and manage Oracle on Unix & MicroSoft Windows. Provide continuous monitoring, troubleshooting, historical and real time performance monitoring of the Oracle in  24 X 7 environment Strong Experience of RMAN, Datapump Experience evaluating and installing new software releases, patches and system upgrades Knowledge and understanding of all aspects of database tuning: software configuration, memory usage, data access, data manipulation, SQL, and physical storage Experience developing and executing database security policies, procedures and auditing-experience with database authentication methods, authorization methods, and data encryption techniques Establish and maintain documentation and standards Work as part of a team and provide 24x7 support when required  -------------------------------------------------------------------------------------------------------------------------------------------- Sybase  Working in non-regular shifts if team needs in case of unforeseen scenarios. Providing administration for production and non-production environments Maintaining Sybase ASE servers while providing inputs on severity and troubleshooting to key stakeholders. Facilitating system implementations and processes this includes, monitoring and alerts, backup, recovery, performance tuning etc. Coordinating with internal users while supporting user requests on issues that includes, access control,  performance tuning. Capable to perform patching for DBs Capable to perform Sybase database setup, database upgrades, space management,  Experience in Backup / Recovery connectivity/security issues and database corruptions in a critical production environment Familiar in Unix system administration relevant to Sybase database management Experience in troubleshooting Sybase Replication problems Execute week-end planned tasks and  coordinate with App team 	  ","Oracle:  Has 5+ years experience in Oracle Database Management ( 9i/10g/11g/12c ) Oracle RAC (Real Application Clusters) / ASM (Automatic Storage Management) / oracle Streams/Backup & Recovery Install, configure and manage Oracle on Unix & MicroSoft Windows  Sybase:  Experience in Backup / Recovery connectivity/security issues and database corruptions in a critical production environment Familiar in Unix system administration relevant to Sybase database management Experience in troubleshooting Sybase Replication problems "
22,62ce48e08479c4ae191b2c138d8989ee,https://www.mycareersfuture.sg/job/principal-database-administrator-central-provident-fund-board-62ce48e08479c4ae191b2c138d8989ee,Principal Database Administrator (DB2 z / OS),Full Time,CENTRAL PROVIDENT FUND BOARD,"TOWER B NOVENA SQUARE, 238B THOMSON ROAD 307685",Unknown,"Information Technology, Public / Civil Service",,,Monthly,01 Feb 2019,0,0,0,0,"As trustee of the nation’s retirement savings, the Central Provident Fund (CPF) Board helps 3.8 million CPF members save for their retirement, healthcare and housing needs. Every CPF Ambassador plays a vital role in helping Singaporeans save for a secure retirement. So long as you have the passion and commitment to serve the public, you will find your niche in our big family. Information Technology IT systems form the backbone of our operations. We are looking for individuals with passion and IT expertise, to help us improve the delivery of our systems and services.  The Board’s IT systems support a high daily volume of financial transactions for CPF members. In addition to keeping the lights on, the Board also keeps pace with the external environment through innovation in its IT systems. Job Responsibilities:  Advise on database related matters, lead and manage medium to large sized database administration and operation functions Accountable for the confidentiality, integrity and availability of data assets and database services. Responsible for the design and implementation of database services, and the upkeep of database related policy, architecture and design artefact.  Job Requirements:  Minimally 12 years experience in database administration and data management technologies in DB2 z/OS and Oracle DB Expert knowledge in Database design, Data Maintenance and Database Security Good experience in troubleshooting and resolving database problems with sound knowledge in software development, system technology, middleware and backup & disaster recovery solutions preferred. Ability to facilitate issues with Development and Support A self-starter with drive to initiate change and raise the technical bar for continuous improvement Ability to respond to emergency situations on 24x7 basis  Seniority of appointment will commensurate with relevant work experience.",None
23,96c9fb7ba27abac37c23c8e3951b13db,https://www.mycareersfuture.sg/job/senior-database-administration-techcom-solutions-asia-pacific-96c9fb7ba27abac37c23c8e3951b13db,Senior Database administration,Unknown,TECHCOM SOLUTIONS ASIA PACIFIC PTE. LTD.,,Unknown,,0,0,,None,0,0,0,0,None,None
24,0131866d718615d77bde0d344d9f317a,https://www.mycareersfuture.sg/job/associate-consultant-recruitment-eames-consulting-group-0131866d718615d77bde0d344d9f317a,Associate Consultant Recruitment,Full Time,EAMES CONSULTING GROUP (SINGAPORE) PTE. LTD.,"ONE FINLAYSON GREEN, 1 FINLAYSON GREEN 049246","Fresh/entry level, Non-executive","Human Resources , Information Technology",2800,4500,Monthly,01 Feb 2019,0,0,0,0,"The Associate Recruitment Consultant’s/ Recruitment Researcher role is to develop Eames Consulting Group’s position within the Insurance, Banking & Professional Services markets via the consistent generation of recruitment revenues to meet individual sales targets Key Responsibilities and Accountabilities  Build upon our client and candidate database, ensuring all records are maintained and updated on Profile, including full sourcing details and any industry news or market developments; Name gathering utilising web-based and telephone research, including database mining techniques and networking, to generate candidates for retained and contingent assignments, and to build qualified candidate pools; Interview candidates over the telephone and face to face; Follow up with candidates and develop beneficial relationships with them; Introducing candidates to consultants; Work with consultants to identify business development activities, proactively passing on relevant information; Entering candidate information and interview notes on database; Generate market intelligence relating to competitor activities; Inform all divisions of relevant market information; Activity reporting within your respective business area; Draft candidate cover sheets on request Produce detailed weekly marketing documents; Deliver on assignments within agreed SLAs; Creative writing skills as the ability to produce marketing documents and adverts is essential.   ","Skills  Ability to effectively use social media sites and conduct internet based research, including using Boolean logic and X-ray techniques; Using the ECG database to source suitable candidates for client mandates; Strong Microsoft Office skills, including Word, Excel and PowerPoint; Previous experience of maintaining an archive of market intelligence.    Key Interpersonal Requirements  Enjoys working in a structured, targeted environment; Excellent negotiation and communication skills; Excellent client and candidate facing skills and the ability to project professionalism and personality, both over the phone and face to face; Highly self-motivated, organised with an ability to manage own time, work with minimal supervision and to tight deadlines; Flexible and adaptable to meet the needs of the changing market, customers and the business Displays a confident manner, both in person and on the telephone; Strive to achieve or exceed timescales, deadlines, targets and results despite any opposition or antagonism on route; Work to a high specification in order to improve and maintain quality; Enjoy the challenge of problem solving and come up with well thought through practical solutions; Meticulous and tenacious work ethic; Comply and adhere to ECG’s Employee Manual and Company Code of Conduct, which can be found on the company intranet. "
