,Job ID,URL,Job Title,Job Type,Company Name,Job Location,Job Level,Job Industry,Min Salary,Max Salary,Salary Paid,Date Posted,Contract,Internship,Temporary,Permanent,Job Description,Job Requirements
5,fe8c48371f06d4955eaf7ac05df75eb2,https://www.mycareersfuture.sg/job/data-analyst-international-sos-technology-services-fe8c48371f06d4955eaf7ac05df75eb2,Data Analyst,Full Time,INTERNATIONAL SOS TECHNOLOGY SERVICES PTE. LTD.,"ODEON TOWERS, 331 NORTH BRIDGE ROAD 188720",Professional,Information Technology,6000,6500,Monthly,31 Jan 2019,0,0,0,0,"In our Digital Innovation Services Centre (DISC), a newly created tech entity of International SOS, a need for unique position as Data Analyst has been created to develop and maintain ongoing reporting needs. You will support client and internal reporting request and project development such as the implementation and support of a global reporting platform to drive BI.   Responsibilities:  Hands-on result-oriented attitude: hands-on application support, deliver results and meet customer expectations, through focus on customer needs and satisfaction Agile practitioner and responsive to business needs. Strong problem-solving ability: analyses and makes rational judgements from available information and produces workable solutions to a range of problems. Ability to analyse both qualitative and quantitative data. Establishes good relationships with clients and relates well to people. An attitude of continuous learning and proactive in developing own knowledge and skills. Ability to thrive in a multicultural, multinational environment and mobilize cross-functional high-performance teams. Strong in reporting (chart, dashboard and paginated) using SSRS and Power BI technologies. Experience in analysis of reports would be required. This will include to identify and analyse data discrepancies for fixing the data quality issue. Capable to support the production incident on reports and ETL jobs by providing the tactical fix for maintaining the service continuity. Knowledge of ETL methodology and hands-on experience in SSIS package creation Advanced Excel skills with understanding of Pivot table, Power query etc. Writing the mapping, technical design and release documents. Relational and multi-dimensional data model knowledge. Advanced query writing and optimization skills for performance tuning. Suitable work experience in Business Intelligence & Data Warehousing. ","Education and Experience:  Bachelor's / Master’s degree in Computer Science, Engineering or related discipline. 5+ years of professional experience in T-SQL, MSBI (SSIS/SSRS/SSAS) and Power BI skills. Understand data and reporting requirements and work with internal team to concept, design and deliver solution. Data preparation (sourcing, acquisition, integration) by using business intelligence tools Delivering reporting solution using SSRS and Power BI. Advanced SQL skills and expertise in one or more database engines with preference to MS SQL. Advanced skills in T-SQL development, debugging and optimization. Experience with SQL Server Reporting Services (SSRS) is a plus. Outstanding verbal and written communication skills. "
6,dbcf0dd514f443228721d49f3ed58207,https://www.mycareersfuture.sg/job/data-analyst-simone-studios-dbcf0dd514f443228721d49f3ed58207,Data Analyst,"Part Time, Permanent, Temporary, Freelance, Full Time, Internship",SIMONE STUDIOS PTE. LTD.,,Executive,Others,,,,31 Jan 2019,0,1,1,1,"www.gigco.work www.simonestudios.com Gigco.work is a portal for talent, services & on-demand job requirements. This is where creatives (photographers, videographers, narrators, models), service providers (movers, plumbers, electricians, cleaners, handymen, painters) make their expertise available to job posters needing their help to fix a home’s electrical connections, produce content (photos, videos, text) for a new website, organise major events. The possibilities are endless. Our platform facilitates the interchange of ideas, services and payments to do this. But this is just the beginning. Our future means more services, deploying our platform in other countries, an ever-growing number of people getting jobs, making people’s dreams come true, giving birth to more companies. Test your limits. Expand your capabilities. Join GIGCO and run with us into the future!   Job Description Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements.","Responsibilities  Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases/data systems Identify, analyze, and interpret trends or patterns in complex data sets Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems Work with management to prioritize business and information needs Locate and define new process improvement opportunities    Requirements  Proven working experience as a data analyst or business data analyst Technical expertise regarding data models, database design development, data mining and segmentation techniques Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks) Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc) Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy Adept at queries, report writing and presenting findings Diploma/Degree in Economics, Computer Science, Information Management or Statistics Fresh graduates are welcome "
9,2625ddb8c909b6623d13a83aad78b5fe,https://www.mycareersfuture.sg/job/data-analyst-ascentis-2625ddb8c909b6623d13a83aad78b5fe,Data Analyst,Permanent,ASCENTIS PTE. LTD.,3015A UBI ROAD 1 408705,Senior Executive,Information Technology,3000,5000,Monthly,30 Jan 2019,0,0,0,1,"Data Analyst Job Description: The role will be actively responsible for data migration, data acquisition, data staging, loading, and transformation into the Enterprise Data Warehouse. While the primary focus of the role will be data migration and is also expected to contribute in simple Database Administration as and when is needed.   Position Accountabilities:  Designs and develops data warehouse design best practices Analyze data requirements, source data, and the data model, and determine the best methods in extracting, transforming and loading the data into the data staging, warehouse and other system integration projects. Analyze business requirements and outline solutions for data migration. Troubleshoot and solve database issues and write custom SQL scripts to support business requirements. Able to work on shift and standby for support when is required     ","Education & Experience:  A Bachelor’s Degree in a technology area of study; preferably in Computer Science. Experienced in relational and data warehouse database design preferably with MS SQL Server. 3 – 5 years of experience in creating SQL query Experienced with data dictionaries, data analysis and relational databases. Experienced with SQL optimization (indexing and ability to interpret and act on execution plans) has added advantage "
11,26372cf2f0954566297cbd6fe7f199f8,https://www.mycareersfuture.sg/job/data-analyst-edelman-singapore-26372cf2f0954566297cbd6fe7f199f8,Data Analyst,Full Time,EDELMAN SINGAPORE PTE. LTD.,,Senior Executive,Others,,,,30 Jan 2019,0,0,0,0," Develop predictive models and offerings that are integrated with overall programme stages and objectives. Support the development of non-quantitative models and frameworks, including behavioural and psychometrics models. Work with peers outside immediate organization to define and characterise complex technology or process problems and/or develops new solutions, yet works independently to drive technical problems to a solution. Collect, cleanse and transform data from multiple data sources for report generation and visualization. Work hand in hand with the campaign specialists/planners to create and execute programmes that follow on from the E.P.I.C purpose-based planning approach. Participate in workgroups as assigned, providing analytics data and insights to inform digital marketing initiatives. Experience in development and deployment of applications running on public cloud systems such as AWS, Azure or Google Cloud Platform is desirable Experience working in Neural Network and other Deep Learning techniques is a plus Support sales efforts, including prospecting, research, proposal development, and sales pitches. ","Qualifications You should have 1 to 2 years of professional experience and a Bachelor of Science or equivalent degree in computer science or statistics, proficiency with Microsoft Office, excellent organization skills, and the ability to adapt to change and meet deadlines. You must have a strong work ethic and dedication to consistently provide quality work. Previous internship experience is preferred.    The ideal candidate should have:  Experience in data gathering, data cleansing, data manipulation, data integration and data analysis. Experience in relational and non-relational database systems, proficient in querying using SQL. Experience in scripting languages, such as Python. Experience in data visualization and dashboarding tools, such as Domo, Tableau, Qlik, PowerBI. Experience in integrating various tools and solutions using interfaces, such as RESTful API. Strong analytical and problem solving skills. Strong written and verbal communication skills.  The candidate must be able to present technical and non-technical information to both senior management and peers in a clear, concise manner. Strong organizational skills and the ability to manage multiple projects. Excellent team player, experience working with cross-functional teams. Entrepreneurial spirit, self starter, comfortable with ambiguity and uncertainty. "
13,cdd043d9474734e6189d33aa8e9778a6,https://www.mycareersfuture.sg/job/datawarehouse-consultant-r-systems-cdd043d9474734e6189d33aa8e9778a6,Datawarehouse Consultant,Full Time,R SYSTEMS (SINGAPORE) PTE LIMITED,"HOI HUP BUILDING, 16 JALAN KILANG 159416",Executive,Information Technology,6000,7000,Monthly,30 Jan 2019,0,0,0,0," Experience working with business users to concept, generate and deliver data management solutions, dashboards and reporting . Working knowledge of BI (business intelligence) or analytics tools required "," Good experience in HADOOP IS REQUIRED Working knowledge of data visualization: ie. Tableau, QlikView Knowledge of Big data and Hadoop Working knowledge of Microsoft SQL Server and/or Oracle databases is preferred SSIS/SSRS required "
14,bfbda766a0a4f2c9ae036074a1e0c730,https://www.mycareersfuture.sg/job/business-data-analyst-varian-medical-systems-pacific-bfbda766a0a4f2c9ae036074a1e0c730,Business Data Analyst,Permanent,"VARIAN MEDICAL SYSTEMS PACIFIC, INC.",,Fresh/entry level,"Consulting , Information Technology",,,,29 Jan 2019,0,0,0,1,"Position Summary & Core Responsibilities: Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design.  Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases/data systems Identify, analyze, and interpret trends or patterns in complex data sets Filter and “clean” data Work with management to prioritize business and information needs Locate and define new process improvement opportunities Aggregate, connect, and analyze data from Salesforce.com Compare data and perform ETL function with Qlik and PowerBI Administrative experience with Systems, ERP, or CRM  Skills & Qualification:  Fresh graduates / proven working experience as a data analyst or business data analyst Technical expertise regarding data models, database design development, data mining and segmentation techniques Strong knowledge of and experience with reporting packages, databases, programming Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc) Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy Adept at queries, report writing and presenting findings Bachelor’s in mathematics, Economics, Computer Science, Information Management or Statistics preferred, but open to all other relevant backgrounds     ","Minimum Required Skills and Knowledge:  Proficient in utilizing tools such as: E-mail, Microsoft Word, Excel, and PowerPoint Experience with basic statistics, qualitative, and quantitve analysis  Education and Experience:  Bachelors Degree  "
15,2e2330b3dc2fd781c8b31fefcf12cb3a,https://www.mycareersfuture.sg/job/data-analyst-trakomatic-2e2330b3dc2fd781c8b31fefcf12cb3a,Data analyst,Full Time,TRAKOMATIC PTE. LTD.,"ALICE@MEDIAPOLIS, 29 MEDIA CIRCLE 138565",Professional,Information Technology,3500,4500,Monthly,29 Jan 2019,0,0,0,0,"The Retail Data Analyst will lead and perform complex analysis in an evolving data environment. In addition to very strong technical skills, this position requires superb business process analysis and interpersonal skills. The ability to extract and analyze shopper behaviour related data (footfall, demographic, crowd density, shelves engagement and sales transaction data), patterns, and related trends is needed, with the subsequent ability to synthesize the data into information consumable by different department from marketing, senior business decision-makers, operation team and leasing department.  Retail business analyst job entails conducting quantitative and qualitative analyses including customer behaviour, retail trends, etc. The role involves presenting the shopper Analytics insights and educating the usage of the data to clients.    Responsibilities:     Complete projects that require data mining, analysis, and presentation.   Focus on solutions, dive into projects, quickly identify drivers in the data.   Identify relevant trends, do follow-up analysis, prepare visualizations.   Develop dashboards to track remediation of issues.    While the focus of this role is the extraction and interpretation of data, it also requires the capacity to identify, explore, interpret and present key trends, ideas and concepts   Analysis: Data analysts work with large amounts of data: facts, figures, and number crunching. You will need to see through the data and analyse it to find conclusions.   Communication: Data analysts are often called to present their findings or translate the data into an understandable document. You will need to write and speak clearly, easily communicating complex ideas.   Critical Thinking: Data analysts must look at the numbers, trends, and data and come to new conclusions based on the findings.   Attention to Detail: Data is precise. Data analysts have to make sure they are vigilant in their analysis to come to correct conclusions.    ","Requirements:     A bachelor’s degree in math, computer science, business, analytics, or a related field is required. Strong math and analysis skills are needed.   Effective communication, computer, analytical, customer service, and project management skills are also important.   The ideal candidates should have experience working in a business/data analysis role in the retail business processes and retail systems experience.   Math Skills: Data analysts need math skills to estimate numerical data.   Working familiarity with tools like Power BI, Qlikview, Tableau, Hadoop, Excel.   Self-starter – must be productive with minimal direction.   Ability to work in a fast-paced, technical, cross-functional environment.   Excellent visual design sense regarding clear and accurate presentation of data.   Basic SQL skills desirable.  "
16,738c09eb434ca3d59c83747d340a9b2c,https://www.mycareersfuture.sg/job/data-analyst-kimberley-consulting-738c09eb434ca3d59c83747d340a9b2c,Data Analyst,Permanent,KIMBERLEY CONSULTING PTE. LTD.,55 MARKET STREET 048941,Executive,Information Technology,,,,29 Jan 2019,0,0,0,1," Large commodities company Marina Bay    Responsibilities:  Use statistical methods to analyze data and generate useful business insights Dig through and analyze data in company’s databases, public websites, social media etc to gather useful insights and present them to stakeholders Preprocess structured/unstructured data and provide cleansed data for building analytic models Understand business requirements and convert into use-cases for data science Working closely with data scientist in providing data needs as well as communicating the modeling results to business Working closely with data engineers in communicating business requirements and supporting in data procurement needs ","Requirements:  Minimum Bachelor’s Degree in Mathematics/Computer Engineering Preferably 1-2 years’ experience in data-mining, Python and/or R programming, and analytical skills Ability to collaborate effectively and work as part of a team Strong experience in performing Exploratory Data Analytics using Statistical tool such as Excel, or programming languages like R, Python Good to have experience in working on various big data tools such as hive, spark, sqoop etc, and with MySQL and NoSQL databases Excellent communication and engagement skills, so as to be able to explain ideas clearly regardless of the audience Experience in working on Text analytics projects    Interested applicants, please email a copy of your latest resume. Kimberley Consulting Reg No: 10C5555 Hoe ChangBang EA License: R1435209"
17,c773036141babed8aecb5c926c1b2837,https://www.mycareersfuture.sg/job/data-analyst-gumi-asia-c773036141babed8aecb5c926c1b2837,Data Analyst,Unknown,GUMI ASIA PTE. LTD.,,Unknown,,0,0,,None,0,0,0,0,None,None
25,fe8c48371f06d4955eaf7ac05df75eb2,https://www.mycareersfuture.sg/job/data-analyst-international-sos-technology-services-fe8c48371f06d4955eaf7ac05df75eb2,Data Analyst,Full Time,INTERNATIONAL SOS TECHNOLOGY SERVICES PTE. LTD.,"ODEON TOWERS, 331 NORTH BRIDGE ROAD 188720",Professional,Information Technology,6000,6500,,31 Jan 2019,0,0,0,0,"In our Digital Innovation Services Centre (DISC), a newly created tech entity of International SOS, a need for unique position as Data Analyst has been created to develop and maintain ongoing reporting needs. You will support client and internal reporting request and project development such as the implementation and support of a global reporting platform to drive BI.   Responsibilities:  Hands-on result-oriented attitude: hands-on application support, deliver results and meet customer expectations, through focus on customer needs and satisfaction Agile practitioner and responsive to business needs. Strong problem-solving ability: analyses and makes rational judgements from available information and produces workable solutions to a range of problems. Ability to analyse both qualitative and quantitative data. Establishes good relationships with clients and relates well to people. An attitude of continuous learning and proactive in developing own knowledge and skills. Ability to thrive in a multicultural, multinational environment and mobilize cross-functional high-performance teams. Strong in reporting (chart, dashboard and paginated) using SSRS and Power BI technologies. Experience in analysis of reports would be required. This will include to identify and analyse data discrepancies for fixing the data quality issue. Capable to support the production incident on reports and ETL jobs by providing the tactical fix for maintaining the service continuity. Knowledge of ETL methodology and hands-on experience in SSIS package creation Advanced Excel skills with understanding of Pivot table, Power query etc. Writing the mapping, technical design and release documents. Relational and multi-dimensional data model knowledge. Advanced query writing and optimization skills for performance tuning. Suitable work experience in Business Intelligence & Data Warehousing. ","Education and Experience:  Bachelor's / Master’s degree in Computer Science, Engineering or related discipline. 5+ years of professional experience in T-SQL, MSBI (SSIS/SSRS/SSAS) and Power BI skills. Understand data and reporting requirements and work with internal team to concept, design and deliver solution. Data preparation (sourcing, acquisition, integration) by using business intelligence tools Delivering reporting solution using SSRS and Power BI. Advanced SQL skills and expertise in one or more database engines with preference to MS SQL. Advanced skills in T-SQL development, debugging and optimization. Experience with SQL Server Reporting Services (SSRS) is a plus. Outstanding verbal and written communication skills. "
