,Job ID,URL,Job Title,Job Type,Company Name,Job Location,Job Level,Job Industry,Min Salary,Max Salary,Salary Paid,Date Posted,Contract,Internship,Temporary,Permanent,Job Description,Job Requirements
40,290cd00d1835e656d9861e3f07fba2c2,https://www.mycareersfuture.sg/job/sr-big-data-developer-kelly-services-290cd00d1835e656d9861e3f07fba2c2,Sr Big Data Developer,Contract,KELLY SERVICES (SINGAPORE) PTE. LTD.,"ASIA SQUARE TOWER 1, 8 MARINA VIEW 018960",Senior Executive,Information Technology,7000,9000,Monthly,17 Jan 2019,1,0,0,0,"Lead technical study into a propose solution, while involving expertise from infrastructure big data expert, business analyst requirement o Document proposed design and develop the solution o Implicitly ensure all CI-CD artefacts are part of the solution o Perform code review while fostering knowledge and coaching best practices to team members o Interact and provide reporting to project managers o Monitor technical risk and escalate appropriately to management","Mandatory  At least 8 years in Software development  At least 5 years in Java/J2EE development  Hands on Data ingest and data processing technology like Spark streaming and Spark  Hands on Messaging systems like Kafka, Flume or ActiveMQ, MQSeries or RabitMQ  Hands on knowledge on Hadoop (preferably Hortonworks distribution) - HDFS, HBase, Hive, ORC/Parquet.  Build tool - Maven/sbt/ant, UML, Restful web services, Jenkins/Team City, Source management – SVN/GIT, TDD using Junit, Jira/QC."
41,08270e0bff8e8aa0e9e5646d53b4b263,https://www.mycareersfuture.sg/job/vp-data-architect-metadata-management-dbs-transformation-group-to-dbs-bank-08270e0bff8e8aa0e9e5646d53b4b263,"VP, Data Architect - Metadata Management, DBS Transformation Group, T&O (1900007N)",Permanent,DBS BANK LTD.,"MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982",Senior Management,Information Technology,10400,18700,Monthly,15 Jan 2019,0,0,0,1,"Business Function     Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.   Responsibilities     Defining Metadata  principles and operating model. Establishing and implementing the framework for creating, capturing and Integrating all types of metadata. Work with Technology to integrate Metadata in solutions. Metadata driven Ingestion and consumption. Work with Data Governance to roll out and keep educating and upraising the user community around Metadata. Ensure all new technologies being introduced are able to integrate with Metadata ", Minimum 10-15 years IT experience Minimum 5-year architectural or similar functions within the Data architecture domain Minimum 5-year experience in data modeling or Data Standards or Metadata Management Minimum 2-year in BIG Data  Be able to interact and articulate the relevance and nuances of proposed Metadata Management process and get buy in Knowledge of Industry tools and techniques for Metadata Management is an advantage Experience in projects such as BCBS 239 where Metadata is a key component 
42,87e146d411c92c0c3702e96f20f6f4b1,https://www.mycareersfuture.sg/job/avp-data-architect-metadata-management-dbs-transformation-group-to-dbs-bank-87e146d411c92c0c3702e96f20f6f4b1,"AVP, Data Architect - Metadata Management, DBS Transformation Group, T&O (1900007N)",Permanent,DBS BANK LTD.,"MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982",Senior Management,Information Technology,6500,11700,Monthly,15 Jan 2019,0,0,0,1,"Business Function     Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.   Responsibilities     Defining Metadata  principles and operating model. Establishing and implementing the framework for creating, capturing and Integrating all types of metadata. Work with Technology to integrate Metadata in solutions. Metadata driven Ingestion and consumption. Work with Data Governance to roll out and keep educating and upraising the user community around Metadata. Ensure all new technologies being introduced are able to integrate with Metadata ", Minimum 10-15 years IT experience Minimum 5-year architectural or similar functions within the Data architecture domain Minimum 5-year experience in data modeling or Data Standards or Metadata Management Minimum 2-year in BIG Data  Be able to interact and articulate the relevance and nuances of proposed Metadata Management process and get buy in Knowledge of Industry tools and techniques for Metadata Management is an advantage Experience in projects such as BCBS 239 where Metadata is a key component 
43,d9dec34e1ae3d1b6df34ccf43fb87c9b,https://www.mycareersfuture.sg/job/big-data-engineer-d9dec34e1ae3d1b6df34ccf43fb87c9b,IT Big Data Engineer,Full Time,Company Undisclosed,,Professional,Information Technology,7000,12000,Monthly,15 Jan 2019,0,0,0,0,"The Big Data Engineer will execute master data management policies developed by the data architect and perform the data quality evaluations. He/She is required to work closely with business representatives to improve the quality of data to the required levels.   Responsibilities  Responsible for the integration of large, structured and unstructured data volumes into the cloud platforms Development of scalable end-to-end data pipelines for batch and stream processing Execution of the datalake integration workflow and activities for populating the data lake and integrating diverse data sources Execution an further development of the physical implementation of the logical data model into a physical implementation in the data lake Implementation of solutions for reference data and master data management within the context of the mobility data business Execution of data quality measurements and implementation of data quality improvement activities to the required levels of data quality Support of build-up and maintenance of a data directory for all data relevant to the mobility data business Representation of the Data Architecture team in selected data architecture, data modelling, and metadata management work teams inside Mobility   "," Diploma or University degree in an appropriate area (e.g. informatics) Relevant work experience Experience with data ingestion tools like Nifi, Streamsets, Node Red Experience with modern big data technologies like Hadoop, MapReduce, Kafka, Hive, Presto, Spark, Storm Experience with cloud solutions like AWS, Azure Experience with programming languages like R, SQL, Scala, Python, Java Experience with NoSql and traditional databases like Mongodb, MSSQL, Hadoop Experience with enterprise application integration and with approaches in one of the leading tool suites (e.g. Kibana, Solr, ElasticSearch, R, Python) Strong technical design and analysis skill Creativity and lateral thinking Ability to deal with ambiguity and work in fast paced environment Deep experience supporting mission critical applications quickly Excellent communication skills, both through written and verbal channels Excellent collaboration skills to work with multiple teams in the organization Ability to understand and adapt to changing business priorities and technology advancements Strong knowledge and technology trends in implementing of Big data ecosystem Strategic thinking and critical problem solving skills "
44,5bbd0461c1d3762bcc37c6bcdebf9b12,https://www.mycareersfuture.sg/job/data-scientist-leap-5bbd0461c1d3762bcc37c6bcdebf9b12,Data Scientist,Permanent,LEAP (G) PTE. LTD.,"MILLENIA TOWER, 1 TEMASEK AVENUE 039192",Professional,Information Technology,10000,15000,Monthly,14 Jan 2019,0,0,0,1,"About You You are a highly motivated, bright, dynamic and adaptable business leader and individual contributor that thrives in an innovative, performance-oriented environment. Continual learning is everything and you want to be a key contributor in a team full of diverse, experienced technology and business professionals. Deep down you have a passion for life, embrace change and thrive in a creative environment. You understand what motivates customers and team members alike and you find solutions to their problems that are economic, strategic and elegant. How would others that you have worked with describe you? Is this you? Joining the LEAP team gives you the opportunity to: work on a disruptive product that’s still in its very early stages, solving challenging problems that will revolutionize enterprise computing in the cloud. You’ll work for a hyper-growth company that is focused on creating the highest quality product in the market where your work has direct impact on customers every day. Job Purpose The LEAP Augmented Decision Platform (ADP) vision is to bring together a collection of cloud-based software and service products into an integrated offering with a unified experience.  The platform requires architecting for growth and to ensure it can operate at high scale, resilience and performance. At the same time, it must be carefully positioned with our customers and able to evolve rapidly in response to their needs. As the Data Scientist, you will utilize analytical, modelling, technical and problem-solving skills to develop customer cloud transformations and inform the strategic direction of product, solution and capability development. You will be required to input into customer propositions based on the insight you obtain from data analytics. You will establish and grow a data science discipline within the company that is able to repeatably and reliably deliver these outcomes and can also offer insight that informs the direction and growth of other group companies. You possess not only analytical skills but also commercial acumen in how solutions can impact customer operations and support strategic initiatives. This role will provide ample opportunities for growth and you must possess drive and ambition to extend your skills into new areas of customer focus that will evolve as part of your role and the growth of the business. You must ensure the company’s ability to deliver the proposed solutions and ensure they are aligned to the target NPS 100 customer program. The role is critical to the strategy of LEAP and will initially be a singleton role but will grow (based on success) to a larger team of data science professionals across a variety of disciplines. The role is primarily customer and internally focused within the company, but it is expected that you will also work within the STT ecosystem to assist in the evaluation and execution of the overall business strategy including M&A, technology and business architecture and deal structuring. Key Responsibilities  Own the data solution in the creation of customer proposals and support multiple sales cycles. Engage with customers to understand their data model and provide insight as part of an outcome sales process. Work with internal stakeholders to identify opportunities for leveraging company data to drive business solutions. Mine and analyse company and group data to optimize product development, marketing and business strategies. Assess the effectiveness and accuracy of new data sources and data gathering techniques. Develop custom data models, algorithms and testing frameworks to apply to data sets. Use predictive modelling to optimize customer experience, revenue generation and other business outcomes. Develop processes and tools to monitor and analyse model performance and data accuracy. Assist in the evaluation of acquisitions supporting the CTO and due diligence teams. ","Formal Education  Required: Bachelor’s degree in Statistics, Mathematics, Computer Science or a similar quantitative field Preferred: Master’s degree or PhD in any quantitative or analytical discipline  Specialist Knowledge (Work Experience, Further Qualification)  5-7 years of experience manipulating data sets and building statistical models. Recent experience of ML and AI. Moderate to strong exposure to cloud, web, search, marketing and related fields. Coding knowledge and experience with several languages: C, C++, Java, JavaScript, Python, Perl, etc. Experience in statistical analysis, data mining and database queries (SQL, NoSQL, R, Python, regression, trees, etc.) Knowledge of big and distributed data / computing tools (Map/Reduce, Hadoop, Splunk, Hive, etc.) Experience with web services and data (Redshift, Google Analytics and AdWords, Facebook Insight, etc.) Excellent written, verbal and interpersonal communication skills "
45,abee2fa5297a677c52ebf9cadfd78d1a,https://www.mycareersfuture.sg/job/senior-manager-data-architecture-abee2fa5297a677c52ebf9cadfd78d1a,"Senior  /  Manager, Data Architecture",Permanent,Company Undisclosed,"NTUC INCOME CENTRE, 75 BRAS BASAH ROAD 189557",Manager,Information Technology,8000,15000,Monthly,14 Jan 2019,0,0,0,1,"You will be the Data Architect in NTUC Income and will create the strategic architecture roadmap for making digital experience a reality for our clients with modern data technologies. You are comfortable engaging senior stakeholders from both technology and business, and credibly guiding them to meet evolving market trends. You have deep and hands-on experience designing, developing high performance and scalable analytical solutions. You have a track record of implementing data and information architectures. You naturally collaborate with strategists and creative teams to workshop ideas, requirements, and define customer-centric experiences. You are passionate to deliver business value from data science, with an acute sense of change opportunities achievable with streaming analytics. You have overseen data management teams, working closely with application and technology teams.  Primary Responsibilities  Development of data architecture, strategy and governance to support business, application, security and technology strategic analysis and decision making   Assessment of current and target states of the data architecture to align with strategic or tactical objectives and to develop recommendations to close the gaps   Integrate cloud and on premise data warehouses and data lakes with metadata management, for powerful data-driven solutions   Be a trusted architect adviser to the management team and also give direction to guide the teams in solution design and implementation, being knowledgeable of data analytics trends   Presents roadmaps and architecture landscapes to senior stakeholders to fulfill the organization’s data science, cognitive, analytics and reporting requirements   Evaluation of data related technologies, and defining best practices in the assessments of standards, tools and methodologies including ETL development, to perform hands on data analysis   Create innovations in both analytic algorithms and methodologies with business impact. Responsible for the end-to-end process of analytical solutioning, involving conceptualization and business engagement   Ensures data quality and performs data cleansing to ensure a single source of truth, to enable data as a service for business units and front-end applications to consume   Perform quality review of data modeling design and deliverable, leading work sessions and deliverable presentations with business stakeholders   Manage architecture and technology governance committee agenda to ensure data, security and technology requirements aligned to enterprise standards and policies "," Bachelors or Master’s Degree in Computer Science, Information Technology, or equivalent   Minimum of 10 years IT experience and 5 years in data architecture, strategy, modeling and tools   At least 5 years design & development experience in enterprise data warehousing and analytics projects   Expert in Oracle, MSSQL, MYSQL database technologies   Best practices using data solutions using Hadoop, Cloudera, Spark, Kafka, MongoDB, NoSQL, Cassandra, Graph, etc   Familiar with Tableau, Microstrategy, Qlikview, Informatica, Talend, Hive and HBase   Understands machine learning, statistics, natural language processing, sentiment analysis, graph analysis, augmented and virtual reality   Proficient in handling complex technical development concepts, latest software tools and technologies, strong database concepts and designing techniques    Excellent in working effectively in a multi-tasking environment, ability to prioritize competing tasks   Fluency and efficiency in creating technical architecture documentation, presentations and stakeholder pitches   TOGAF or other industry recognized architecture certifications preferred   Competencies  Clear communicator with excellent oral and written skills and experience interacting with both business and IM individuals at all levels including the executive level    Possess the personal attributes of integrity, trust and credibility, hungry for results and show perseverance. A good listener, customer oriented, strong interpersonal skills   Creative thinking skills with deep technological expertise, business acumen and software development background   Able to guide and influence others easily and well organized with clear attention to detail   "
46,072d3b5dccde78c866d62d26daa474a6,https://www.mycareersfuture.sg/job/big-data-solutions-architect-amazon-web-services-singapore-072d3b5dccde78c866d62d26daa474a6,Big Data Solutions Architect,Permanent,AMAZON WEB SERVICES SINGAPORE PRIVATE LIMITED,"AIA TOWER, 1 ROBINSON ROAD 048542",Professional,Information Technology,130000,250000,Annually,11 Jan 2019,0,0,0,1,"Amazon Web Services (AWS) is looking for an experienced Big Data Solutions Architect who will become the Subject Matter Expert (SME) for designing big data architectures that leverage AWS's cloud technology.   Our customer engagements will focus on Real Time and Batch-based Big Data processing, Business Intelligence, and Machine Learning.   This role will specifically focus on Amazon Web Services for Big Data, including Amazon EMR for Hadoop & Spark, Amazon Elasticsearch Service, Amazon Athena, Amazon Kinesis Suite, and our storage, data warehousing, and business intelligence suite of products. As a Big Data Solutions Architect, you will focus time on helping our customers and partners build innovative Solutions and Businesses that focus on leveraging the value of data.   You would be part of a dynamic team bringing the latest in disruptive, cutting-edge cloud computing technologies to bear on the difficult cost and agility challenges facing many organizations.   The business development and account management teams will help accelerate the adoption of Amazon Web Services as the leading cloud technology platform.   Responsibilities Include:   Collaborate with AWS field sales, Solution Architects, training and support teams to help partners and customers learn and understand the capabilities and value of AWS Big Data and Analytics services such as AWS Glue, Amazon Elastic Map Reduce (EMR), Amazon Athena, Amazon Redshift & Amazon Kinesis, in addition to other offerings that form the Data & Analytics ecosystem. Technical engagements with partners and customers. This includes participating in pre-sales on-site visits, understanding customer requirements, creating consulting proposals and designing relevant data solutions. Push the envelope – Cloud computing is reducing the historical “IT constraint” on businesses. Imagine bold possibilities and work with our clients and partners to find innovative new ways to satisfy business needs through Data / Business Intelligence cloud computing.  How your day will look like ?  An ideal candidate will possess both technical and customer-facing skills that will allow them to be a ""trusted advisor"" to customers. He or she will be able to facilitate relationships with senior personnel, as well as easily interact and give guidance to database experts, software developers, IT pros, and system architects. The ideal candidate will also have a demonstrated ability to think strategically about business, product, and technical challenges. If you are someone who enjoys innovating, likes solving hard problems and working on cutting edge technology, we would love to have you on the team. 	This role covers the ASEAN region and regular travel will be required.     #AWSSINGPORE  ","Basic Qualifications:   Deep understanding of Apache Hadoop and the Hadoop ecosystem. Experience with tools such as Flink, Spark, Sqoop, Kafka, Oozie, Zookeeper, HCatalog and Hive. Familiarity with SQL-on-Hadoop technologies such as Hive, Pig, Impala, Spark SQL, and/or Presto. Current hands-on implementation experience required, possessing 8 or more years of IT platform implementation experience. Experience with analytic solutions applied to the Marketing or Risk needs of enterprises. Proven experience in a consultative technical sales or professional services with a proven track record of success. Ability to gain credibility and build relationships with all levels in an organization, from technical experts to senior executives. Demonstrated ability to think strategically about business, product, and technical challenges in an enterprise environment. Track record of thought leadership and innovation around Big Data. Solid understanding of Cloud Computing Technologies and related emerging technology Strong verbal and written communications skills are a must, as well as the ability to lead effectively across internal and external organizations and virtual teams. A talent for being able to influence and build mindshare convincingly with any audience. Confident and experienced in public speaking to large audiences. Develop and cultivate a community of Big Data & Analytics experts, sharing ideas and best practices. Coordinate efforts around IP development, evangelism and thought-leadership events relating to Big Data & Analytics. Provide thought leadership to Data & Analytics experts both externally through events like AWS Summit Series and User-Groups. Work with AWS engineering and support teams to convey partner and customer needs and feedback as input to technology roadmaps. Share real world implementation challenges and recommend new capabilities that would simplify adoption and drive greater value from use of AWS cloud services.  Preferred qualifications  Understanding and experience with Machine Learning and AI related technologies.  Demonstrated industry leadership in the fields of Database and/or Data Warehousing, Data Sciences and Big Data processing. Experience with Statistics and Machine Learning.  AWS Certification, eg. AWS Solutions Architect Associate "
47,c9b924cb39f6594569b50d1d33a216d5,https://www.mycareersfuture.sg/job/vp-solution-architect-group-consumer-banking-big-data-analytics-technology-to-dbs-bank-c9b924cb39f6594569b50d1d33a216d5,"VP, Solution Architect, Group Consumer Banking and Big Data Analytics Technology, T&O (1900006Q)",Permanent,DBS BANK LTD.,"MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982",Senior Management,Information Technology,10400,18700,Monthly,11 Jan 2019,0,0,0,1,"Business Function   Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.     Job Summary  The incumbent will lead a team of solution architects and domain experts and enables them to provide fit for purpose solutions. Transform requirements into architecture and blueprint for the solution being created.  Conversion that is based on several factors: previous, successful design patterns, reference architectures and enterprise architecture guidance.  Understands business functions, construct a solution architecture around Microservices and APIs, and be able to decompose monolith applications into meaningful implementable Microservices and APIs in a Cloud/DevOps environment. Provide technology perspective to business to help guide roadmap and prioritization by keeping abreast with industry trends. Where required, help business size the complexity of problem and help simplify and define MVP. Provide technical leadership and guidance to the development team, during the SDLC. Get development team’s buy-in into accepting the design to be implemented.  Ensure that the solution architecture aligns with the roadmaps established by the enterprise architecture, and that it adheres to the enterprise architecture principles. Act as the bridge between Enterprise / Application Architecture and Delivery. Be a consumer and contributor to enterprise architecture collateral. The patterns and guidance developed should be reusable in a broader enterprise architecture context.  Document and manage how multiple applications are poised to work together. Involves defining the interaction between application packages, databases, and middleware systems in terms of functional coverage. Should be able to generate migration plans for systems which are at the end of the software life cycle or which have inherent technological risks.    Responsibilities    Subject Matter Expertise    Act as visionary and strategist for solution/application area Survey market landscape for solution/application insights, direction, vendors, and methods Provides expertise to identify and translate system requirements into software design artifacts Make presentations at internal conferences and authorship internal in publications     Early Ideation    Help business development life cycle by serving as a solution SME to help identify and qualify business development opportunities Provide end to end solution and design details Drive POCs to assess new solution/application paths Lead / participate in product selection process and fit gap analysis    Methodology and Quality Assurance    Lead development of formalized solution methodologies Contribute to a repository for solution/application artifacts Interface and coordinate tasks with internal and external technical resources. Collaborates with Project Managers and technical staff to provision estimates, develop overall implementation solution/application plan, and serve as a lead as required, to implement the installation, customization, and integration efforts Oversee aspects of project life cycle, from initial kick-off through requirements analysis, design and implementation phases for projects within the solution/application area Provide quality assurance for services within the solution/application area Write, or direct the writing of white papers that add further insight and thought in the solution/application area    Work Force Management, Supervision and Mentoring    Manages a team of direct reports (if applicable) who drive service lines in the solution/application area Assists staffing coordinators who define project team requirements for projects in solution/application area Work with Delivery to define overall recruiting needs and expertise in solution/application area Work with Delivery to establish professional development needs for practitioners in solution/application area Mentor and guide more junior technical resources Feed the overall project status to the senior management.    Guiding Applications Operations    Responsible for the change in delivery and deployment strategy for all applications to a total replacement for applications at the end of their technology or functionality lifecycle. Maintain and monitor all aspects of the application: 	 Interoperability capability Performance and scalability Reliability and availability Application lifecycle stage Technological risks Number of instances / countries Functionality and Capability   Understand the system process flow of the primary business processes. It gives a clear picture of the functionality map and the applications footprint of various applications across the map. "," Experienced Enterprise SOA, EOA Architect and Microservices Architecture.  Deep End-to-End Enterprise Architecture understanding, including Enterprise Java Stack (JEE), Rich UI and Front-End technologies, mobile applications (Android and iOS), Middleware technologies (Tibco, Solace etc), Mainframe technologies, Databases (SQL & No SQL), Data Warehouses, and Core Banking solutions. Experienced in streaming technology or framework such as Kafka and able to select suitable technology for given situation, code quality API/tool, logging/tracing, circuit breakers. Experienced working in a cloud native work environment, spring cloud data, Spring Security, oAuth, service monitoring on cloud, PaaS environment such as Pivotal. Deep understanding of Enterprise Integration and Messaging Patterns, SOA Governance practices Strong communication skills including engaging senior management on strategic plans, leading project steering committees and status updates etc. Experienced in Agile methodology. Ability to work independently and handle multiple concurrent initiatives Excellent organizational, vendor management, negotiation, and prioritization skills Excellent team player and strong interpersonal skills Proactive and able to work under pressure, strong problem-solving skills and positive “can do” attitude "
48,0839839b38e2ab1a54c8448a9bb1edc3,https://www.mycareersfuture.sg/job/lead-data-scientist-m1-0839839b38e2ab1a54c8448a9bb1edc3,Lead / Data Scientist,Full Time,M1 LIMITED,10 INTERNATIONAL BUSINESS PARK 609928,"Middle Management, Manager","Engineering, Information Technology, Others, Sciences / Laboratory / R&D, Telecommunications",6000,9000,Monthly,11 Jan 2019,0,0,0,0," Lead and manage Data Science activities, and ensure alignment to business objectives and strategies Collaborate with stakeholders to identify data analytics opportunities that will produce actionable insights and drive new business initiatives Ensure end-to-end operational efficiency on data preparation, extraction, transformation and loading of complex big data sets of different formats from various source systems Build Data Science talent needs by developing team expertise in mathematics, quantitative analysis, data mining and machine learning to develop statistical models and algorithms Provide technical leadership and subject matter expertise on usage of big data technologies, tools and techniques that will improve data processing or enhance the results of the analytics outcome "," Degree in Statistics, Mathematics, Computer Science, Data Science and Analytics or related field with 5+ years' experience in Data Analytics and machine learning on enterprise data Expert technical abilities with machine learning, statistical and probability methods Excellent understanding of machine learning techniques (classification, regressions, dimensionality reduction, etc) Working experience on Big Data development and related technologies (R, Python, Scala, Matlab, Java, Hadoop, Spark, Hive, Impala, Sqoop, Kafka, etc) Working knowledge of relational databases, HP Vertica, SQL & NoSQL databases Proficient in SQL, Oracle, PostgreSQL, ETL/ELT applications Experience with:   Visualization/business intelligence tools such as Tableau and Qlikview Geospatial analysis using telecommunications network data would be advantageous   Telecom domain knowledge with experience in multi-tiered Customer Care, Order Management, Loyalty, Business Support and Network Provisioning systems would be advantageous Comfortable working with very big complex data sets of various formats Excellent analytical, communication, presentation and technical proposals writing skills Ability to handle multiple simultaneous tasks, prioritize and meet tight deadlines "
49,5b120f77eb039c7564c88a45aa75535f,https://www.mycareersfuture.sg/job/data-analyst-1-year-contract-group-customer-analytics-decisioning-oversea-chinese-banking-corporation-5b120f77eb039c7564c88a45aa75535f,"Data Analyst (Stack) - 1 year contract, Group Customer Analytics & Decisioning",Full Time,OVERSEA-CHINESE BANKING CORPORATION LIMITED,63 CHULIA STREET 049514,Senior Executive,Others,5000,9000,Monthly,11 Jan 2019,0,0,0,0,"JOB DESCRIPTION:   Work alongside the Group Customer Analytics team to support development, rollout and ongoing data and insight support for the Stack Loyalty marketplace Build the pipelines to integrate data from Stack with the existing offline OCBC and partner data Apply data and advanced analytics to drive relevance of the offers presented within the Stack Application to end users. Develop dashboards to enable the Stack business development team & external partners to understand how the proposition is being received and identify new portfolio growth opportunities. Support “campaign as a service” for 3rd parties using the Stack platform. Conceptualise other opportunities for monetising the data within Stack – including data products and “analytics as a service” type initiatives. ","REQUIREMENTS:  Minimum 2 years hands-on experience working in an analytical marketing team – actively developing dashboards, models, adhoc analysis and/or campaign management activity. Banking industry experience not necessary. Strong hands-on skills in analytical tools like EDW, SQL, Qlikview/Tableau, Unica, SAS. Knowledge of modern infrastructure and tools like Hadoop, Talend, Spark is a plus. Some exposure to model building in tools like SAS or open source (Python/ML) advantageous for offer recommendations – although support will be given. Excellent communication skills with the ability to articulate complex solutions to non-technical users. Energetic personality with an innovative, self-starting spirit. Someone that likes to ask “why?” "
