,Job ID,URL,Job Title,Job Type,Company Name,Job Location,Job Level,Job Industry,Min Salary,Max Salary,Salary Paid,Date Posted,Contract,Internship,Temporary,Permanent,Job Description,Job Requirements
40,06ec79c4d3ebee59e398885b97e3c4e8,https://www.mycareersfuture.sg/job/assistant-manager-social-media-data-wwf-world-wide-fund-nature-06ec79c4d3ebee59e398885b97e3c4e8,"Assistant Manager, Social Media & Data",Permanent,WWF-WORLD WIDE FUND FOR NATURE (SINGAPORE) LIMITED,"TANGLIN INTERNATIONAL CENTRE, 354 TANGLIN ROAD 247672",Middle Management,Advertising / Media ,3500,4500,Monthly,21 Jan 2019,0,0,0,1," Reporting to the Communications Manager, the Assistant Manager Social Media & Data manages and monitors the social media channels for WWF-Singapore, Oversees the daily media monitoring & sentiment analysis, and monitors reach, engagement and conversion data Working in tandem with the Web Developer, this person is a digital native that has a pulse on sentiment and data analysis, and is adapt with managing online communities "," Relevant degree with 2-3 years of working experience in a related field, preferably in digital media. Excellent verbal, written and visual communication skills are required. Strong interpersonal skills and good negotiation abilities are a prerequisite. Having a strong understanding of web development, data analysis and sentiments is a clear advantage. Other tasks may be assigned as necessary according to organizational needs. "
41,01f0c6f8154b36b31b0ebe64f89db08b,https://www.mycareersfuture.sg/job/data-partnership-manager-group-lifestyle-financing-oversea-chinese-banking-corporation-01f0c6f8154b36b31b0ebe64f89db08b,Data Partnership Manager - Group Lifestyle Financing,"Permanent, Full Time",OVERSEA-CHINESE BANKING CORPORATION LIMITED,63 CHULIA STREET 049514,Senior Executive,Banking and Finance,5000,7000,Monthly,21 Jan 2019,0,0,0,1,"  What you'll do:   Roles and Responsibilities:       • To define and implement business use cases by understanding the available data sets derived from OCBC card spend  data and external sources such as StarHub,  merchant solutions and external data crawlers.   • To understand merchants’ business requirements and ensure the relevancy, quality and usability of the analytical report  to address partner’s business concerns.   • Identify and acquire new or existing usage partners to sign up for the business analytical reports based on paid  subscription model.   • Drive deeper engagements with strategic partners by delivering incremental value through joint promotions based on the  derived insights.   • Manage end to end delivery of marketing campaigns within projected timeline   • Ensure sound management of advertising and promotion budgets to meet business objectives   • Manage effective and beneficial working relationships with external vendors and partners   • Manage a pool of strategic key partners and conduct periodic business reviews to seek performance improvements    ","  Requirements:       • Proven in people management and key partnerships management   • Experienced in developing strategy, influencing relevant stakeholders and decision makers and executing decisions  effectively   • Strong analytical skills, data-driven thinking, meticulous and able to think creatively   • Strong interpersonal skills and ability to work well in a team environment   • Strong presentation and communication skills to internal and external stakeholders   • Sound knowledge of cards products and cards usage marketing campaign      *LI-JY  "
42,98152be89e8ea508bf0a1b53f02fe8b5,https://www.mycareersfuture.sg/job/data-architect-manager-sandbox-consulting-98152be89e8ea508bf0a1b53f02fe8b5,Data Architect Manager,Permanent,SANDBOX CONSULTING PTE. LTD.,"TRIVEX, 8 BURN ROAD 369977",Senior Management,Information Technology,8000,10000,Monthly,21 Jan 2019,0,0,0,1,"Delivering New Application Solution and Design Business engagement – requirements analysis, acts as a product owner and prioritize backlog Hands on Development on frameworks Subject matter expert in any one of these domains – E/M-Commerce, Customer / Partner relationship management, Card & Wallet Payment Landscape(initiation to settlement), Gaming Distribution and Gamer Community, Small & Medium Enterprises Define system-level application architecture that includes high-level design, architectural policies and principles, design and programming guidelines, implementation risks and mitigation measures, software development and integration strategies, software configuration controls, etc Maintain control over the solution throughout the entire software development lifecycle by continuously making critical adjustments to the solution to ensure desired results are achieved  Involve in requirement analysis phase to ensure the implementation feasibility of functional specifications. Highlight requirement gaps, disproportional construction efforts, technical challenges and any other issues to business analyst teams Provide technical leadership in the development through established design and development methodologies, to ensure system meets functional and system requirements  Engage customers to explain the rationale of architecture’s selection, or other technical issues Ensure best practices, frameworks and re-useable components are employed in the development project Understand Information Security standards, methodologies and practices. Design and deliver complex security solutions that integrate an effective and efficient network infrastructure design. Trouble-shoot technical problems faced by the team. Experience in designing solutions using appropriate platforms and system technologies such as enterprise database design, web and application server and network technologies  Experience in payment or telco billing related system is good to have. Ability to lead, develop and maintain respectful and trusting relationship; Ability to setup the product backlogs for iterative development Proficient in written and spoken English Able to travel as required","Good working knowledge of Amazon Cloud Services such as EC2, EBS, S3, ELB, ElasticCache, CloudFront, Route53, RDS, Kinesis, DynamoDB, etc Data Modeling Experience, designing LDM/PDM using RDBMS or NoSQL Database migration experience (e.g. upgrading RDBMS versions, moving from RDBMS to NoSQL) Practical knowledge in Agile and DevOps environments, open source technologies and related tools."
43,0f647ea5d1bf9891f749ef441187e4df,https://www.mycareersfuture.sg/job/program-manager-data-crm-eire-systems-singapore-0f647ea5d1bf9891f749ef441187e4df,Program Manager- Data /  CRM,Full Time,EIRE SYSTEMS SINGAPORE PTE. LTD.,"KEPPEL BAY TOWER, 1 HARBOURFRONT AVENUE 098632",Manager,Information Technology,8000,10000,Monthly,21 Jan 2019,0,0,0,0," Direct the planning and execution of the APAC Datamart project. Advice / guidance on the Program direction to APAC regional management team in coordination with the Regional Agency Team and Regional IT Delivery Management. Convene and chair relevant Steering Committees/working groups specific to the execution of the Program. Plan and execute projects within defined budgets and timeframes. Facilitate issue escalation and communication to senior management. Facilitate program change control during Program planning and execution and agrees priorities with the various Program constituents. Manage stakeholder expectations. Ensures all program risks, issues and dependencies are tracked and monitored with proper mitigation and resolution plans. Work with legal & technical team to obtain relevant regulatory approvals for the project. Build and maintain an open and transparent relationship with respective stakeholders. Support program team members in the region and act as an escalation point to resolve any blockers or issues that are raised. Ensure the team are actively engaged in the program and adequately supported / resourced to deliver the program. "," Proven, complex program management capability, primarily within insurance/financial services businesses. Previous experience working on Globally-led programs overseeing APAC countries. Understands the need to communicate and build strong relationships with stakeholders at various levels in a highly matrixed organisation. Excellent knowledge of project management methodologies, tools and templates (includes project planning, schedule development, scope management and cost management). Comfortable with public speaking and presentation to senior management-level audiences. Can work in high pressure, demanding environments and deliver high quality results. Strong insurance industry experience with exposure to agency as distribution channel, is a plus. Previous experience in managing Data / CRM projects is a plus. Preferably certified PMP and Agile trained. "
44,631ebc36a74a85ee710dd711480e199d,https://www.mycareersfuture.sg/job/data-analyst-database-analyst-groupm-asia-pacific-holdings-631ebc36a74a85ee710dd711480e199d,Data Analyst - Database Analyst,Full Time,GROUPM ASIA PACIFIC HOLDINGS PTE. LTD.,"CHINA SQUARE CENTRAL, 18 CROSS STREET 048423",Executive,Advertising / Media ,,,,21 Jan 2019,0,0,0,0,"This role acts as a specialist to agency teams in all areas concerning the data platform and analytics services. You will be looked upon to provide designing, building and managing of data from various data platforms, as well as building efficient campaign analysis solutions to meet specific clients’ requirements. 3 best things about the job:  A role where you like to see yourself providing creative ideas to analyze post-campaign analysis and you have a liking for numbers! A role where you not only participate in day to day operational work but will be looked upon to generate ideas and initiatives proactively to drive client business needs A fantastic chance to build on regional exposure across multiple markets across APAC and develop strong project management skills with global teams   Measures of success – In three months:  Be familiar with multiple data and analytics platforms across multi markets to be able to support Regional team with collation and analysis of marketing performance.  In six months:  Own the build of various data sources (e.g. Datarama / Datamart) to support local markets with creative dashboard builds to help their reporting needs Be familiar in Adobe Analytics, AdWords, Facebook, Twitter, DCM to help deliver best practice in campaign set up Support trading team and client team with topline performance insights  In twelve months:  Able to manage builds for larger and more complex data management with minimal guidance. Also, you would be confident in discussing requirements from agency and client teams, driving data and analytics solutions to build credibility based on your business knowledge and experience gained. You, along with data manager, will be the go to people to provide oversight of performance marketing channels impact on business goals and help to drive optimization strategies based on your extensive understanding of campaign performance You will be able to recommend solutions and ideas to get the most out of data, support in data partnership conversations and be able to distill those ideas in to how they will support business goals   Responsibilities of the role:  Support Engagement/Business Lead to plan and design efficient online/offline campaign reporting solutions to meet agency and local market requirements Support agency teams in campaign insights demonstrations (internal and external) with creative dashboards Understanding of SQL/Python scripting to manage data and documenting instructions for everyone’s knowledge Comfortable with communicating and working with multiple WPP agency teams Understanding of marketing dimensions and metrics for campaign analysis and ad effectiveness and being able to effectively communicate and recommend where uplifts to performance can be delivered   What you will need:  Background in data management and analysis with a keen interest in leveraging data and technology to provide insights and analysis for advertisers and media agencies Experience with database concepts and big data platforms Experience with key data visualization tools including Datorama, Tableau, Power BI and Qlikview will be highly valued Ability to work collaboratively with multi-cultural business partners and stakeholders, work effectively within cross-functional teams Strong written and oral communication skills, ability to communicate effectively with business users from various teams   About Mindshare Mindshare, the global media agency network, and part of WPP, the largest marketing communications network in the world, has more than 7,000 employees, in 116 offices across 86 countries. Mindshare APAC has won over 300 awards in 2014/2015 and was the most awarded agency at the 2015 Campaign Asia Awards Festival. Mindshare was also recognised as the SMARTIES™ APAC ‘Agency Network of the Year 2015’ for the third consecutive year. Mindshare is also home to The 2015 Festival of Media Asia Pacific Rising Star – Jason Maggs. To learn more about Mindshare and our philosophy of Original Thinking, visit us at www.mindshareworld.com About Singapore GroupM Singapore operates in one of the most dynamic and exciting environments in the world. Although it is a small domestic market, there is a vibrant media industry which is undergoing rapid evolution as digital technology reshapes the way marketing supports advertisers’ needs. Being at the crossroads of Asia means that aside from the local clients and media owners, we also have a high proportion of multi-national clients and media owners. As the largest media investment management company in Singapore with over 41% market share (Recma) and over 650 employees, GroupM Singapore is the premiere organisation to join and develop a career in. GroupM APAC is committed to fostering a culture of diversity and inclusion. Our people are our strength so we respect and nurture their individual talent and potential.      ","What you will need:  Background in data management and analysis with a keen interest in leveraging data and technology to provide insights and analysis for advertisers and media agencies Experience with database concepts and big data platforms Experience with key data visualization tools including Datorama, Tableau, Power BI and Qlikview will be highly valued Ability to work collaboratively with multi-cultural business partners and stakeholders, work effectively within cross-functional teams Strong written and oral communication skills, ability to communicate effectively with business users from various teams "
45,0ff2338a7ea845cbe3128aaafe462f28,https://www.mycareersfuture.sg/job/data-manager-capgemini-singapore-0ff2338a7ea845cbe3128aaafe462f28,Data Manager,Permanent,CAPGEMINI SINGAPORE PTE. LTD.,6 BATTERY ROAD 049909,Professional,Engineering,5000,7500,Monthly,18 Jan 2019,0,0,0,1,"Activities: • Create and maintains business glossary, Data dictionaries and classifies data according to local priorities. • Use Data Lineage inputs to identify defined purpose and consent on the usage of Data. • Manage data board (meeting, agenda, minutes) and follow Data Management KPIs. • Create and enforce Data Standards (such as data retention rules). • Implement data by design process along with Data Architects, DPO and other stakeholders. • Formalize and Manages Data Quality Rules and Issues (measures, identify gaps and follow remediation plan). Provides reports on Data Quality Measures/Profiling. • Provide evidences for internal controls on identified controls.  Skills: • Technical: statistics, IT knowledge, DAMA-DMBOK knowledge, use of visualization tools (Tableau, Spotfire, Gephi…), notions of Entity-Relationship Databases and data models (star schema, data vault, …), SQL language. • Strong knowledge in Data governance, data stewardship, data quality, data privacy. • Strong oral and written communication skills, autonomy, curiosity, rigorous in execution, team player and able to coordinate network of stakeholders from various background, ability to understand business needs.","Activities: • Create and maintains business glossary, Data dictionaries and classifies data according to local priorities. • Use Data Lineage inputs to identify defined purpose and consent on the usage of Data. • Manage data board (meeting, agenda, minutes) and follow Data Management KPIs. • Create and enforce Data Standards (such as data retention rules). • Implement data by design process along with Data Architects, DPO and other stakeholders. • Formalize and Manages Data Quality Rules and Issues (measures, identify gaps and follow remediation plan). Provides reports on Data Quality Measures/Profiling. • Provide evidences for internal controls on identified controls.  Skills: • Technical: statistics, IT knowledge, DAMA-DMBOK knowledge, use of visualization tools (Tableau, Spotfire, Gephi…), notions of Entity-Relationship Databases and data models (star schema, data vault, …), SQL language. • Strong knowledge in Data governance, data stewardship, data quality, data privacy. • Strong oral and written communication skills, autonomy, curiosity, rigorous in execution, team player and able to coordinate network of stakeholders from various background, ability to understand business needs."
46,15ab556e0599771cd783db76b9bef5c0,https://www.mycareersfuture.sg/job/data-analytics-manager-sats-15ab556e0599771cd783db76b9bef5c0,Data Analytics Manager,Permanent,SATS LTD.,"SATS INFLIGHT CATERING CENTRE 1, 20 AIRPORT BOULEVARD 819659",Manager,Information Technology,,,,18 Jan 2019,0,0,0,1," Business Analytics   Build data visualisation and dashboard for the business and respective product owners Deliver accurate regular and ad-hoc performance tracking and analysis to drive traffic, transactions and processes Ad-hoc analysis based on strategic direction of the business and deep dive into specific area / trend Make recommendations based on historical data and predict trends Conduct market analysis leveraging on external data to determine market sizing and growth rates Assist in business case and pricing initiatives as required        2. Data Analytics  Design, develop and implement statistical models, as well as interpret and present statistical outcomes to support the organisation’s operations and execution of key business strategies Design and conceptualize solution that address the organisation’s challenges through use of big data analytics and process large amount of data by applying algorithms Collaborate with stakeholders to build data analytics capabilities, conduct feasibility studies, Knowledge of ETL and OLAP to support and contribute to database implementation and systems, devising strategies to promote continuous improvement Devise methods and strategies to obtain and extract data to derive business insights "," Degree holder in Business / Data Analytics, Business, Information Technology or Computer Science with at least 5 years of business analytics and/or data analytics Working knowledge of data mining principles: predictive analytics, mapping, collecting data from multiple data systems on premises and cloud-based data sources. Experience of Data Management Solutions and Data Warehouse Management. Understanding of and experience using analytical concepts and statistical techniques: hypothesis development, designing tests/experiments, analysing data, drawing conclusions, and developing actionable recommendations for business units. Experience and knowledge of analytical and statistical modelling techniques: hypothesis development, designing tests/experiments, analysing data, regression (multiple, logistic, log-linear), neural network, decision tree, variable selection, etc In-depth understanding of statistical and predictive analytics as well as text analytics implementation process Experience working with and creating databases and dashboards using all relevant data to inform decisions. Proficient with data analytics method and technologies / tools such as ETL, OLAP, R and/or Python and Qlik. Highly motivated, structured and methodical with high degree of initiative. Strong problem solving, quantitative and analytical abilities. Excellent written and oral communication skills. Able to work independently or cross functionally. "
47,b3259db120d20fc3eea5f248eecdd6f7,https://www.mycareersfuture.sg/job/financial-data-analytics-manager-astellas-pharma-singapore-b3259db120d20fc3eea5f248eecdd6f7,Financial Data Analytics Manager,Full Time,ASTELLAS PHARMA SINGAPORE PTE. LTD.,"SUNTEC TOWER FOUR, 6 TEMASEK BOULEVARD 038986",Manager,"Accounting / Auditing / Taxation, Information Technology",8000,16000,Monthly,18 Jan 2019,0,0,0,0," Support the strategies and objectives of the Director, Financial Data Analytics   Maintain data intregration from multiple regional systems, including 40+ affiliates, into the Budget &Control global system   Validate data accuracy and quality across reporting and analytical platforms globally   Work with other data analytics team members to develop reporting and financial models as required by stakeholders   Oversee external vendors development and maintenance activities related to data management   Participate in ad-hoc projects to improve the data and processes necessary to support the objectives of Medical & Development Budget &Control "," Demonstrated strong data management skills including master data management   Demonstrated skills designing process and workflows to validate data and master data   Demonstrated accomplishments automating manual data processes   Experience with Anaplan, data visualization tools like QlikSense, ETL and master data management tools. "
48,e0566ece2fcddd2c37fca036f10c6ddb,https://www.mycareersfuture.sg/job/project-manager-business-analyst-data-processes-antaes-asia-e0566ece2fcddd2c37fca036f10c6ddb,"IT Project Manager  /  Business Analyst, Data and Processes","Permanent, Full Time",ANTAES ASIA PTE. LTD.,"MYP CENTRE, 9 BATTERY ROAD 049910",Junior Executive,"Consulting , Banking and Finance",8000,10000,Monthly,18 Jan 2019,0,0,0,1,"- Contribute to IT projects in the banking industry for Antaes clients, especially in the Business Processes, Data and Data Lake areas - Perform Business Analysis for projects and IT tools evolutions (requirements gathering, general functional specifications, UAT coordination, change management, deployment plan) - Perform standard project management tasks (planning, budget, risks, Steering Committees preparation and running) - Work with all teams working on the same projects (Organisation, IT and business) - Drive and challenge business units assumptions - Work with functional users and ensure business readiness - Collaborate with developers and subject matter experts to establish the technical vision and make proper choices - Contribute to the promotion of Antaes services on top of assistance provided to clients","- Consultant profile - Experienced profile (more than 3 years of experience) - Solid exposure to Private Banking / Wealth Management business processes and activities. Good understanding of flows and Data used. - Knowledge of statistical programming language(s) is a plus - Good understanding and experience with project management best practices/ methodologies/ project lifecycle - Ability to manage relationship with other teams (Business and IT) - Strong analytical skills required to interpret customer business needs, challenge them and translate them into application and operational requirements - Excellent verbal and written communication skills - Very good English proficiency. Strong business language proficiency in French is a plus."
49,be2bd080655a53db2b8221217b067ae5,https://www.mycareersfuture.sg/job/data-operations-specialist-red-hat-asia-pacific-be2bd080655a53db2b8221217b067ae5,Data Operations Specialist,Permanent,RED HAT ASIA PACIFIC PTE LTD,80 ROBINSON ROAD 068898,Executive,Information Technology,1500,3000,Monthly,18 Jan 2019,0,0,0,1,"Support the Red Hat Asia Pacific (APAC) Customer Data team in data management and data cleansing activities. The Red Hat Data Operations team is looking for an experienced candidate to serve as a Data Operations Specialist in Singapore, while also supporting China. In this role, you’ll help to promote data quality and governance by focusing on accurate data creation and maintenance in our data management system. By working closely with the Data Operations team across APAC, you’ll be committing to contribute to Red Hat’s operational success, ensuring data completeness, hygiene, and quality standard. As a Data Operations Specialist, you’ll report to the APAC Data Operations Supervisor. ","Primary Job Responsibilities  Manage timely execution of all data, new data creation, and data maintenance requests Perform assigned data cleansing initiatives and tasks Maintain clean and accurate customer records and ensure data integrity across all systems Provide input regarding customer data cleansing and consolidation Monitor data input processes for accuracy and for potential customer data corruption; develop and recommend corrective actions for these issues Perform customer reporting for the region using Oracle, Salesforce.com (SFDC), and other reporting tools Assist with the documentation of local practices regarding customer data Communicate any issues and suggestions to the APAC Customer Data Supervisor Perform quarter-end closing procedure support Achieve defined service levels by interacting with internal and external customers  Required Skills  Diploma with 4+ years, or a degree with 2-3 years of work experience similar to this position Ability to work without supervision; proven ability to deliver results when presented with only general instructions on new assignments Experience with Oracle or other enterprise resource planning (ERP) systems Familiarity with Salesforce, LibreOffice, Microsoft Office or Google Docs Great attention to detail Organized and process-oriented Solid verbal and written communication skills Ability to learn how to use new systems and tools at an intermediate level Experience with customer data administration is a plus "
