,Job ID,URL,Job Title,Job Type,Company Name,Job Location,Job Level,Job Industry,Min Salary,Max Salary,Salary Paid,Date Posted,Contract,Internship,Temporary,Permanent,Job Description,Job Requirements
40,ee50f6e8e7c6e3e3553fab0195ede28c,https://www.mycareersfuture.sg/job/project-manager-saksoft-ee50f6e8e7c6e3e3553fab0195ede28c,Project Manager,Full Time,SAKSOFT PTE LIMITED,"SIM LIM TOWER, 10 JALAN BESAR 208787",Manager,"Banking and Finance, Telecommunications",6000,8000,Monthly,28 Jan 2019,0,0,0,0," Prefer DWH/ETL/Informatica experience Managed/Supervised a small team of developers(under 5) and oversee daily activities to deliver solutions in support of Business Familiarity with SDLC lifecycle as well as Agile/Scrum/Lean methodologies   Strong communication and collaboration skills, have experience working in big projects /programmes(concurrent multiple projects) with multiple stakeholders/customers as well supporting parties Possess strong problem solving skills ,has keen eye for details ,quality consciousness  and actively uses initiative to creatively resolve issues or improve internal processes  ", Minimum 7 years relevant project management experience and delivery of IT application projects Bachelor Degree in Computer Science (or equivalent experience); Good interpersonal and communication skills Able to work independently and as a team 
41,896c46d5418ec90bcb22f28bbd2c9710,https://www.mycareersfuture.sg/job/opening-fatca-saksoft-896c46d5418ec90bcb22f28bbd2c9710,Opening for FATCA,Permanent,SAKSOFT PTE LIMITED,"SIM LIM TOWER, 10 JALAN BESAR 208787",Executive,Information Technology,5500,8000,Monthly,28 Jan 2019,0,0,0,1," The candidate should be well versed with various Regulatory report Experience FATCA and/or iFRS9 ETL Informatica, is an added advantage      ",  candidate should be able to independently file various statutory reports. The candidate should be from Banking / Financial Services ONLY.   
42,7007d5409cdf7c35b60fd75badff954b,https://www.mycareersfuture.sg/job/data-analyst-futurex-technologies-7007d5409cdf7c35b60fd75badff954b,Data Analyst,Contract,FUTUREX TECHNOLOGIES PTE. LTD.,"GERMAN CENTRE, 25 INTERNATIONAL BUSINESS PARK 609916",Executive,Information Technology,6000,6500,Monthly,28 Jan 2019,1,0,0,0,"The successful candidate will be responsible for Global Banking(GB) and Commercial Banking(CB) Analytics, which will include data sourcing, data transformation, predictive modelling and creating Tableau dashboards. Create strong blending data capabilities within team so that we can come up with useful client information from data very quickly Engage with business stakeholders cross countries and gather requirement and liaise with ETL team to get the required data preparation. Promote analytics driven decision making processes across multiple segments/product portfolios Engage and execute the dashboards on Tableau or similar visualization tools Explore statistical and automation tools like R, SAS, Python for predictive and prescriptive analytics Engage relevant technology teams to embed advanced statistical tools Prepare and/or contribute to regular updates for various committees and governance forums Provide insights to senior management and the network based on MIS and analytics Highlight any perceived risks and early alerts to the management based on data analytics Perform data validation and dashboard performance optimization","A proven track record with 4 years or more of relevant analytics work experience and demonstrated career progression/increase in responsibilities Strong academic record: Degree in Finance, Statistics, Computer Science or related field Knowledge of either SAS, R or Python Strong understanding of Hadoop Database Strong Knowledge of Tableau or similar visualization tools Proficient in excel and SQL Knowledge of statistical modelling and machine learning will be an added plus Understanding of the ETL process Highly effective verbal and written English communication skills Good presentation, time management, negotiation and influencing skills Ability to influence without authority Strong analytical and problem solving skills Experience in project management from business requirement definition, solution validation, user testing, technical documentation and production roll out Ability to manage multiple work streams with strong problem solving and analytical skills Strong communication and presentation skills to varying levels of management  "
43,fba95c7774cb8a6e2651a35483eb8569,https://www.mycareersfuture.sg/job/lead-consultant-ncs-fba95c7774cb8a6e2651a35483eb8569,Lead consultant,Permanent,NCS PTE. LTD.,"NCS HUB, 5 ANG MO KIO STREET 62 569141",Professional,Information Technology,7000,10000,Monthly,28 Jan 2019,0,0,0,1," Development of data architecture, strategy and governance to support business, application, security and technology strategic analysis and decision making   Assessment of current and target states of the data architecture to align with strategic or tactical objectives and to develop recommendations to close the gaps   Integrate cloud and on premise data warehouses and data lakes with metadata management, for powerful data-driven solutions   Provides consultancy to clients in areas of data governance to improve quality and control in the management and usage of data. Helps help defines standards, processes and adopts best practices in data management.  Presents roadmaps and architecture landscapes to senior stakeholders to fulfill the organization’s data science, cognitive, analytics and reporting requirements   Evaluation of data related technologies, and defining best practices in the assessments of standards, tools and methodologies including ETL development, to perform hands on data analysis   Create innovations in both analytic algorithms and methodologies with business impact. Responsible for the end-to-end process of analytical solutioning, involving conceptualization and business engagement   Ensures data quality and performs data cleansing to ensure a single source of truth, to enable data as a service for business units and front-end applications to consume   Perform quality review of data modeling design and deliverable, leading work sessions and deliverable presentations with business stakeholders   Manage architecture and technology governance committee agenda to ensure data, security and technology requirements aligned to enterprise standards and policies "," Bachelors or Master’s Degree in Computer Science, Information Technology, or equivalent At least 5 years design & development experience in enterprise data warehousing and analytics projects Expert in Oracle, MSSQL, MYSQL database technologies Best practices using data solutions using Hadoop, Cloudera, Spark, Kafka, MongoDB, NoSQL, Cassandra, Graph, etc Familiar with Tableau, Microstrategy, Qlikview, Informatica, Hortonworks, Talend, Hive and HBase   Understands machine learning, statistics, natural language processing, sentiment analysis, graph analysis, augmented and virtual reality   Proficient in handling complex technical development concepts, latest software tools and technologies, strong database concepts and designing techniques   Excellent in working effectively in a multi-tasking environment, ability to prioritize competing tasks   Fluency and efficiency in creating technical architecture documentation, presentations and stakeholder pitches   TOGAF or other industry recognized architecture certifications preferred "
44,09c037328fd2d76b67d47d6a0c1f90cc,https://www.mycareersfuture.sg/job/head-data-engineering-fixed-mobile-09c037328fd2d76b67d47d6a0c1f90cc,Head of Data Engineering,"Permanent, Full Time",FIXED & MOBILE PTE. LTD.,"ANSON HOUSE, 72 ANSON ROAD 079911",Senior Management,Information Technology,8000,11000,Monthly,28 Jan 2019,0,0,0,1,"TransferTo operates a leading global digital value services network offering safe, reliable and more accessible mobile value services for emerging markets. Our B2B cross-border network interconnects and provides mobile operators, money transfer operators, retailers, distributors, NGOs and corporates with unparalleled infrastructure and reach to offer solutions that better connect loved ones across borders.   A career with TransferTo provides invaluable experience in an exciting and rapidly expanding market and an opportunity to be part of a truly global company with 7 offices worldwide and a workforce that includes over 50 different nationalities.   The Engineering team is responsible for maintaining, building and expanding the core platform of TransferTo in a highly available environment, processing millions of transactions per month. Ensuring scalability, redundancy, security and performance at the same time while enabling multiple external and internal services and APIs to communicate together is one of the key challenges of our team. Connected to hundreds of partners all over the world via various APIs and protocols our platform is unique and delivers the best-in-class product to our customers.   We are seeking an energetic and passionate Head of Data Engineering to help build the robust foundations that will support current and future data-intensive computations across the company. You will be working closely with the Infrastructure, Software Development, Product, Business Intelligence and Data Science teams to provide insight and expertise. You will have the opportunity to shape our data stack, ensuring that our ever-flowing data is adequately collected, organized and made accessible for advanced analytics and beyond.   Key Role Responsibilities  Define our data engineering and data processing strategy to serve business needs Conceive, develop, monitor and optimize reliable data pipelines that convert data into insights Understand the bigger picture when it comes to data processing and use cases across the company Build a reliable, scalable and efficient cloud-based data processing platform and applications to support the different needs Play a central role in delivering our next generation real-time, big data platform Be involved in whole data platform development process including infra, data ETL and service implementation Participate in the design, discussions and technology choices of the on-going major developments with the other teams ","Essential Experience  More than 5 years of experience in data engineering and people management Advanced knowledge of real-time data streams, ETL processes and how to clean, structure and manage sensitive data effectively Strong development skills in some of the following languages: R, Python, Hive, Pig, Mahout, Java, ... Working knowledge of big data concepts like Hadoop, Spark, MapReduce, and HDFS Deep understanding of both SQL and NoSQL data stores Familiar with data tools and services in Azure, AWS, and/or GCP eco-system is preferred Familiar with data management and visualization tools such as Tableau Knowledge of Amazon AWS services and their applications (RDS, Redshift, S3, EC2, ...) Knowledge in RESTful API development Knowledge in CI tools like Jenkins Knowledge in QA processes and automation Coursework in machine learning, data science, data mining, big data, and/or statistical inference is a plus Comfortable with GIT version control Excellent written and verbal communication skills in English A DevOps attitude - you build it, run it & maintain it The ability to execute independently Enjoy learning and adopting new technologies to push the team forward Thrilled to find creative solutions for the challenges you face Finally, wanting to have responsibilities that make a significant contribution and impact on the company "
45,21861e90483b457a87d98b573aeedb8e,https://www.mycareersfuture.sg/job/data-scientist-21861e90483b457a87d98b573aeedb8e,Data Scientist,Full Time,Company Undisclosed,,Non-executive,"Engineering, Manufacturing",3400,6000,Monthly,28 Jan 2019,0,0,0,0,"Responsibilities: Align to, Understand, and Prioritize Analytic Goals to Address Business Opportunities and Value  •  Maintain an intimate understanding of company and department strategy  •  Understand the business objectives in order to develop or establish success criteria metrics  •  Translate business problems into one or more data science projects/solutions    Lead Efforts to Identify Signals in Data that Address Use Cases  •  Understand business processes (data sources and meaning)  •  Manage and optimize data discovery and cleansing  •  Understand and collect relevant data  •  Identify new data sources in the network that will create new insights to business needs  •  Explore relevant data through visualization and statistical methods    Collect, Organize, and Prepare Data for Analysis  •  Work with various volumes of data from multiple disparate sources and perform data analysis and mining to generate solutions to business problems  •  Ensure processes taken to maintain data integrity  •  Understand available data and what data is relevant  •  Collaborate with data architects (IS engineers, BI engineers, DBAs, etc.) to ensure that data needed is available  •  Develop and automate ETL jobs for various volumes of data    Uncover Patterns in Data, Develop Models, and Evaluate Validity of Solutions  •  Develop expertise in data mining and analytic methods  •  Determine statistical validity and significance (pick out signals from noise)  •  Identify and apply appropriate analytical models  •  Evaluate results using statistical methods and improve the model where appropriate  •  Develop predictive models    Deploy Data Science Models into Business Processes  •  Present findings and deliver recommendations using effective presentation and data visualization techniques  •  Collaborate with software engineers to deploy data science solutions into production applications  •  Ensure that the models are easy to support and maintain  •  Regularly review deployed models and monitor for continual improvement  •  Validate that the business value has been met",Requirements:  Doctorate Degree or equivalent experience in Statistics/Physics/Computer Science/Engineering/Operations Research/Applied Maths Good knowledge in programming and statistics. Excellent code writing abilities. Experience in Data-mining and yield analysis. Experience in developing application and data-source in Hadoop big data platform will be advantageous. 
46,d811457c351ebac1d6c04c22a4681965,https://www.mycareersfuture.sg/job/mct-big-data-senior-engineer-d811457c351ebac1d6c04c22a4681965,MCT Big Data Senior Engineer,"Permanent, Full Time",Company Undisclosed,,Non-executive,"Engineering, Manufacturing",5000,10000,Monthly,28 Jan 2019,0,0,0,1,"Do you have a broad theoretical and practical understanding of data engineering and data science? Can you wrangle large scale multidimensional data effectively? Are you always curious to learn something new? Do you love to solve engineering puzzles and optimize complex systems? Can you translate an idea in to an algorithm and make it into a product with quality and scalability in mind? Are you looking for window to the world ?   If so, you may be a great candidate for an Manufacturing Central Team (MCT) Data Engineer position at company, a global, Fortune 500 leader in the semiconductor industry. This position will be based in Singapore.   As an MCT Data Engineer at company, you will:   * Work with an international team of data scientists, data engineers, software engineers, process and equipment engineers, process integration engineers, yield enhancement engineers, R&D, etc. in a collaborative manner to develop new data science solutions that improve quality, improve yield, reduce deviations, improve manufacturing cycle time, reduce cost, extend manufacturing capabilities, etc. * Draw from a broad background of data-mining techniques in mathematics, statistics, information technology, machine learning, data engineering, design of experiments (DOE), visualization, etc. to discover insightful patterns in semiconductor manufacturing data * Work on projects and develop solutions that would be of high impact to various areas at all manufacturing fabs * Deliver polished presentations of data acquisition, data flow, data preparation and data presentation layer to internal customers and leaders to inform business strategy, streamline operations, and execute to revenue goals * In short, be a full-stack data engineer who can take an idea, access and prepare necessary data, work with data scientists to create machine learning models, develop it to an application with intuitive user interface, integrate with any pre-existing systems, demonstrate successful use cases and wins, etc.   Responsibilities and Tasks include, but not limited to:   * Understanding business needs and strategy to develop data science solutions * Collaborating with other data engineers and business process experts to access existing data in data warehouse and big data environments * Developing new or enhancing prior data acquisition and ETL pipelines from various sources into big data ecosystem. * Preparing data for machine learning using appropriate steps and methods, which may include data cleaning, transformation, augmentation, enrichment, sampling, etc. * Working with various scientific data such as equipment sensor data and logs, image and various types of signals, manufacturing process data, etc. to extract meaningful information for analytics * Creating intuitive user interface for interactive data visualization to explain insights from data * Preparing and delivering powerful presentations with rich data visualizations and meaningful business conclusions * Documenting the train of thoughts used to design and implement solutions along with managed source code * Traveling and participating in various internal forums for strategy building and to build solutions in collaboration with various manufacturing sites","Qualifications and Experience: * B.S degree or M.S. degree with 2 years’ experience in Computer Engineering, Industrial Engineering, or any other discipline with extensive programming or machine learning work  * Minimum 2 years of experience working in big data and data science projects and teams * Extensive experience with Java, Scala, Python in Hadoop ecosystem (Spark, Hive, HBase, etc.) is a must * Extensive experience with at least one relational databases (MS SQL, Oracle, MySQL, Teradata, etc.) is a must * Experience with building analytical web applications and data visualization technologies (Django, Javascript, Bootstrap, D3, etc.) is a plus * Good grasp of statistical and scientific programming packages in Python, R, etc. * Good grasp of data science concepts with emphasis on machine learning techniques is a plus * Experience with image processing (OpenCV, Python PIL, scikit-image, etc.) is a plus * Proficiency with collaborative source code management and documentation tools. (GIT, JIRA, Confluence, etc.) * Strong communication skills (written, verbal and presentation) * Willing to do international travel"
47,165e3137bfd84a80aa511eb2574a2e44,https://www.mycareersfuture.sg/job/mct-big-data-engineer-165e3137bfd84a80aa511eb2574a2e44,MCT Big Data Engineer,"Permanent, Full Time",Company Undisclosed,,Non-executive,"Engineering, Manufacturing",3400,6800,Monthly,28 Jan 2019,0,0,0,1,"Do you have a broad theoretical and practical understanding of data engineering and data science? Can you wrangle large scale multidimensional data effectively? Are you always curious to learn something new? Do you love to solve engineering puzzles and optimize complex systems? Can you translate an idea in to an algorithm and make it into a product with quality and scalability in mind? Are you looking for window to the world ?   If so, you may be a great candidate for an Manufacturing Central Team (MCT) Data Engineer position at company, a global, Fortune 500 leader in the semiconductor industry. This position will be based in Singapore.   As an MCT Data Engineer at company, you will:   * Work with an international team of data scientists, data engineers, software engineers, process and equipment engineers, process integration engineers, yield enhancement engineers, R&D, etc. in a collaborative manner to develop new data science solutions that improve quality, improve yield, reduce deviations, improve manufacturing cycle time, reduce cost, extend manufacturing capabilities, etc. * Draw from a broad background of data-mining techniques in mathematics, statistics, information technology, machine learning, data engineering, design of experiments (DOE), visualization, etc. to discover insightful patterns in semiconductor manufacturing data * Work on projects and develop solutions that would be of high impact to various areas at all manufacturing fabs * Deliver polished presentations of data acquisition, data flow, data preparation and data presentation layer to internal customers and leaders to inform business strategy, streamline operations, and execute to revenue goals * In short, be a full-stack data engineer who can take an idea, access and prepare necessary data, work with data scientists to create machine learning models, develop it to an application with intuitive user interface, integrate with any pre-existing systems, demonstrate successful use cases and wins, etc.   Responsibilities and Tasks include, but not limited to:   * Understanding business needs and strategy to develop data science solutions * Collaborating with other data engineers and business process experts to access existing data in data warehouse and big data environments * Developing new or enhancing prior data acquisition and ETL pipelines from various sources into big data ecosystem. * Preparing data for machine learning using appropriate steps and methods, which may include data cleaning, transformation, augmentation, enrichment, sampling, etc. * Working with various scientific data such as equipment sensor data and logs, image and various types of signals, manufacturing process data, etc. to extract meaningful information for analytics * Creating intuitive user interface for interactive data visualization to explain insights from data * Preparing and delivering powerful presentations with rich data visualizations and meaningful business conclusions * Documenting the train of thoughts used to design and implement solutions along with managed source code * Traveling and participating in various internal forums for strategy building and to build solutions in collaboration with various manufacturing sites","Qualifications and Experience: * B.S degree or M.S. degree with 2 years’ experience in Computer Engineering, Industrial Engineering, or any other discipline with extensive programming or machine learning work  * Minimum 2 years of experience working in big data and data science projects and teams * Extensive experience with Java, Scala, Python in Hadoop ecosystem (Spark, Hive, HBase, etc.) is a must * Extensive experience with at least one relational databases (MS SQL, Oracle, MySQL, Teradata, etc.) is a must * Experience with building analytical web applications and data visualization technologies (Django, Javascript, Bootstrap, D3, etc.) is a plus * Good grasp of statistical and scientific programming packages in Python, R, etc. * Good grasp of data science concepts with emphasis on machine learning techniques is a plus * Experience with image processing (OpenCV, Python PIL, scikit-image, etc.) is a plus * Proficiency with collaborative source code management and documentation tools. (GIT, JIRA, Confluence, etc.) * Strong communication skills (written, verbal and presentation) * Willing to do international travel"
48,4b1aeea089cbaa6726eb2cb5dca20fd0,https://www.mycareersfuture.sg/job/senior-etl-data-engineer-smartsoft-4b1aeea089cbaa6726eb2cb5dca20fd0,Senior ETL and DATA Engineer,Full Time,SMARTSOFT PTE. LTD.,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Senior Executive,Information Technology,6000,11000,Monthly,25 Jan 2019,0,0,0,0,"  Responsibilities include understanding ETL & Data Engineering requirements, architecture design, development of etl mapping and framework using SQL, Informatica, Python, Google Bigquery & Google Dataflow. This is a technical position providing hands-on delivery role, working with the cross-functional teams, while ensuring excellent cross functional relationship.   Job Details:  Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and Google ‘big data’ technologies. Build processes supporting data transformation, data structures, metadata, dependency and workload management. Work with stakeholders including the BSA, Report developers, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs. Additional responsibilities include troubleshooting, maintenance, and optimization or enhancement of existing processes. Partner with engineering leads and architects to define & coordinate technical design. Design and code reviews to ensure standards and quality level for the build Performance tuning of ETL jobs to meet SLA Prepare technical documentations on the deliverables Identify, define and implement best practices for process improvements for SDLC management ","Experiences:  Must have 4 to 6 years of experience using SQL, Informatica, Python & Bigquery. Must be hands-on and have working experience in SQL, Informatica 10.x, Python. Working experience with Google Bigquery, Google Dataflow & Exasol is a big plus. Working experience with Kafka or Google Pubsub is a big plus. Hands-on experience in development using best practices and standards on Informatica products specifically PowerCenter 9.x/10.x and Web Service Transformation Solid working skills preferably in Oracle RDBMS, SQL, PL/SQL and ODS/3NF db design considering performance and SLA. Strong design skills with a proven track record of success on large/highly complex projects preferably in the area of Enterprise Apps and Integration. Must have the ability to communicate technical issues and observations. Must have experience in cross functional domain and end to end knowledge of business and technology. Technical and functional knowledge in Oracle EBS & Siebel CRM are preferred.  Must possess excellent verbal and written communication skills. Must be able to effectively communicate & work with fellow team members and other functional team members to coordinate & meet deliverables"
49,31003e58ccc2f49ba4d79ddd8a696ca4,https://www.mycareersfuture.sg/job/senior-etl-data-engineer-schellden-global-services-31003e58ccc2f49ba4d79ddd8a696ca4,Senior ETL and Data Engineer,Full Time,SCHELLDEN GLOBAL SERVICES,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Senior Executive,Information Technology,6000,11000,Monthly,25 Jan 2019,0,0,0,0,"Responsibilities include understanding ETL & Data Engineering requirements, architecture design, development of etl mapping and framework using SQL, Informatica, Python, Google Bigquery & Google Dataflow. This is a technical position providing hands-on delivery role, working with the cross-functional teams, while ensuring excellent cross functional relationship.   Job Details:  Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and Google ‘big data’ technologies. Build processes supporting data transformation, data structures, metadata, dependency and workload management. Work with stakeholders including the BSA, Report developers, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs. Additional responsibilities include troubleshooting, maintenance, and optimization or enhancement of existing processes. Partner with engineering leads and architects to define & coordinate technical design. Design and code reviews to ensure standards and quality level for the build Performance tuning of ETL jobs to meet SLA Prepare technical documentations on the deliverables Identify, define and implement best practices for process improvements for SDLC management "," Must have 4 to 6 years of experience using SQL, Informatica, Python & Bigquery. Must be hands-on and have working experience in SQL, Informatica 10.x, Python. Working experience with Google Bigquery, Google Dataflow & Exasol is a big plus. Working experience with Kafka or Google Pubsub is a big plus. Hands-on experience in development using best practices and standards on Informatica products specifically PowerCenter 9.x/10.x and Web Service Transformation Solid working skills preferably in Oracle RDBMS, SQL, PL/SQL and ODS/3NF db design considering performance and SLA. Strong design skills with a proven track record of success on large/highly complex projects preferably in the area of Enterprise Apps and Integration. Must have the ability to communicate technical issues and observations. Must have experience in cross functional domain and end to end knowledge of business and technology. Technical and functional knowledge in Oracle EBS & Siebel CRM are preferred. Must possess excellent verbal and written communication skills. Must be able to effectively communicate & work with fellow team members and other functional team members to coordinate & meet deliverables. "
