,Job ID,URL,Job Title,Job Type,Company Name,Job Location,Job Level,Job Industry,Min Salary,Max Salary,Salary Paid,Date Posted,Contract,Internship,Temporary,Permanent,Job Description,Job Requirements
13,7d9ea1e2550b9e18eae61c151803bf9a,https://www.mycareersfuture.sg/job/research-scientist-fujitsu-smu-urban-computing-engineering-corp-lab-singapore-management-university-7d9ea1e2550b9e18eae61c151803bf9a,"Research Scientist (1-year contract), Fujitsu-SMU Urban Computing & Engineering Corp Lab (UNICEN)",Unknown,SINGAPORE MANAGEMENT UNIVERSITY,,Unknown,,0,0,Monthly,None,0,0,0,0,None,None
33,7d9ea1e2550b9e18eae61c151803bf9a,https://www.mycareersfuture.sg/job/research-scientist-fujitsu-smu-urban-computing-engineering-corp-lab-singapore-management-university-7d9ea1e2550b9e18eae61c151803bf9a,"Research Scientist (1-year contract), Fujitsu-SMU Urban Computing & Engineering Corp Lab (UNICEN)",Contract,SINGAPORE MANAGEMENT UNIVERSITY,,Manager,Education and Training,5000,6500,Monthly,21 Jan 2019,1,0,0,0," COMPANY DESCRIPTION  Singapore Management University is a place where high-level professionalism blends together with a healthy informality. The 'family-like' atmosphere among the SMU community fosters a culture where employees work, plan, organise and play together – building a strong collegiality and morale within the university.Our commitment to attract and retain talent is ongoing. We offer attractive benefits and welfare, competitive compensation packages, and generous professional development opportunities – all to meet the work-life needs of our staff. No wonder, then, that SMU continues to be given numerous awards and recognition for its human resource excellence.  RESPONSIBILITIES   Work under the supervision of Principal Investigator's research problems, design and implementation of working prototypes and publications. These activities are to be carried out in consultation with UNICEN director Engage and lead in project discussions and requirement gatherings with industry players Manage project implenetation and team resources to ensure test-bed solutions are delivered on time and meet requirements "," PhD in Computer Sicence, Computer Engineering or related disciplines Research background in data-mining, machine learning and optimization Experience in designing incentive mechanism and conducting real-world experiments Programming in C++ Java Use of optimization tolls such as OPL or Matlab "
40,cc047992bfe5ce1f839959b79f63846e,https://www.mycareersfuture.sg/job/study-manager-manpower-staffing-services-cc047992bfe5ce1f839959b79f63846e,Study Manager,Full Time,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,"GUOCO TOWER, 1 WALLICH STREET 078881",Manager,Sciences / Laboratory / R&D,10000,15000,Monthly,17 Jan 2019,0,0,0,0,"Job Specification  Line Manage a Metabolism team Provide operational and scientific leadership to colleagues in the team Provide appropriate training to colleagues in the team and more widely in the Department. Take a leading role in raising the overall effectiveness and efficiency standards within the team and take responsibility for the timely delivery of quality projects to the client Provide regulatory/study design advice to clients. Act as Study Director for appropriate studies and work in the laboratory when appropriate to actively manage the timely completion of experimental workload Operational leadership and line management of a group of scientists. Act as Study Director, Analytical Project Manager and/or Principal Investigator on a wide range of metabolism studies, as appropriate. Prepare study plans, amendments, file notes and deviations as required; Prepare worksheets to coordinate experimental activities; Review and interpret data acquired; Prepare Study Reports; Address findings rising from QA audits and process inspections; Communicate study progress to clients. Review proposals and study plans prepared by others ensuring all costs are included and revenue recognition milestones are clear. Manage the allocation of staff, resource and scheduling of the team to achieve revenue recognition milestones each month and hence the revenue targets forecast to Senior Management. Work closely with Operations Manager to ensure close control of study costs, including direct study material costs, appropriate use of overtime, monitor financial performance, revenue recognition and invoice milestones Review profitability of studies based on the hours budgeted and amend generic cost builds as necessary. Ensure work scope changes are discussed with senior management and supplementary proposals prepared, as appropriate.   Prepare and maintain a library of generic study plans, template reports and cost builds for their area. Lead implementation of continuous improvement culture in their specialist area. Identify new procedures/techniques as required to enhance the service offerings of the Metabolism group and increase efficiency. Lead project teams as required. Perform Scientific review of reports generated by their team Effectively communicate with clients regarding study progress and address client comments. Manage communication with clients on small programmes of work with multiple SDs where there is no programme manager assigned. Lead client facility visits. Ensure that the performance of the team is effectively managed with appraisals performed on schedule and objectives set in accordance with company policies. Oversee development of assigned staff. As an industry recognised expert in a metabolism specialism increase profile of the department externally through playing an active role in expert groups, networking and publications. Participate in business development visits to clients, as necessary. "," Bsc in Bio Chemistry, Chemistry or equivalent. Deep knowledge of Bio-analysis studies Several years’ experience as a Study Director in this field Preferably experience of leading a team of scientists Good written and verbal communication skills Computer literate Ability to work with minimum supervision and as part of a team Good time management skills and ability to work to tight deadlines Proven ability to problem solve Willing to get involved with new ideas and initiatives "
41,cda864afdc4281f4d2b08f37a5127b8f,https://www.mycareersfuture.sg/job/research-scientist-neuroncredit-cda864afdc4281f4d2b08f37a5127b8f,Research Scientist (Computer Vision),Full Time,NEURONCREDIT PTE. LTD.,,Executive,Information Technology,5000,9000,Monthly,16 Jan 2019,0,0,0,0," This Research Scientist will work with our high performing data scientists to further improve Advance.AI’s current deep learning capabilities in our product such as OCR, facial recognition, facial comparison and liveness "," Master’s Degree / PhD in Computer Science or any other related discipline Strong experience in deep learning and computer vision Good experience in deep learning framework, such as caffe / tensorflow Proficient knowledge and track record of applying modern deep learning concepts Ability to understand business processes and drive to solve real-world business problem "
42,9332760def35cd738a35bc75bd4e8f37,https://www.mycareersfuture.sg/job/senior-research-fellow-research-scientist-astar-research-entities-9332760def35cd738a35bc75bd4e8f37,"Senior Research Fellow  /  Research Scientist (Skin Barrier Lab, SRIS)","Contract, Full Time",A*STAR RESEARCH ENTITIES,"UOB PLAZA, 80 RAFFLES PLACE 048624",Professional,Sciences / Laboratory / R&D,5900,10800,Monthly,15 Jan 2019,1,0,0,0,"Skin Research Institute of Singapore (SRIS) is a  government-funded research institute under the Agency for Science, Technology and Research (A*STAR). SRIS was officially launched in 2018 after a period of development within the Institute of Medical Biology to promote translational skin research into the mechanisms underlying human disease. SRIS research activities include epithelial stem cells and differentiation, cancer and genetic diseases and well as studies on the skin microbiome. Situated across two campuses at the Biopolis and Novena Health City, scientists work together with biologists, engineers, clinicians and industry in state-of-the-art facilities. Our goal is to achieve a better understanding of human health and disease, leading to the development of novel therapeutic strategies for improved quality of life. Job Scope: SRIS Skin Barrier Lab has one postdoctoral position available to investigate immune cell function in epidermal tissues during health and disease. The candidate will study epithelial-immune cell interactions in the skin to identify cell populations and cytokine expression that gives rise to inflammatory skin diseases. Investigations will yield valuable foundational and translatable insights into chronic inflammatory conditions such as atopic dermatitis to understand the multifactorial contribution of stimuli that drives disease manifestations via adaptive immunity.","  Prior experience in skin immunology will be highly advantageous.    Experience with human material or mouse models desirable.   A passionate enthusiasm for research, a strong background in inflammatory skin diseases, be self-motivated, enjoy working as a team and constantly seek new challenges.   A proven capability for conducting high-quality, independent research within a highly collaborative and international research environment.   Contractual details: The position is avaiable for 2 years.  "
43,25fe0a13a13551d213e24311addaaf58,https://www.mycareersfuture.sg/job/applied-research-scientist-client-solutions-element-ai-25fe0a13a13551d213e24311addaaf58,Applied Research Scientist - Client Solutions,Permanent,ELEMENT AI INC. PTE. LTD.,,Executive,Information Technology,8000,12000,Monthly,15 Jan 2019,0,0,0,1,"Element AI is one of the world’s largest applied artificial intelligence companies and one of Canada’s fastest growing startups. We constantly push the frontier of knowledge, tackling the world's biggest and most interesting challenges in artificial intelligence, machine learning and operations research.","As an Applied Research Scientist on the Client Solutions team, you will: Provide in-depth scientific AI expertise during the early phases of opportunity with a client. Your presence in client interactions will provide the technical knowledge necessary to deploys state of the art AI solutions. You will answer tough and interesting questions and help educate potential clients on the possibilities that AI offers for their needs. After helping your team identify the client needs and use case scoping, you will do the necessary technical analysis, including some coding, building of early ML models, and data audit to make sure the proposals are technically sound and aligned with the company goals. The proposals you participate in preparing will define initiatives that different teams in Element AI can be involved in. Therefore, your participation in proposals will be critical in guiding the projects. You will stay in touch with the internal ML teams to make sure you know what our capabilities and roadmaps are. Also, to be successful in your role, you will be expected to stay up to date on the advances happening in a broad section of the AI field. Ability to travel for client engagements is a plus. This will be discussed with you and balanced according to your possibilities. Your day-to-day work can be very varied: Your day could begin by reading up on the necessary material and techniques to do a great job discussing a client opportunity. After meeting the client, you debrief with our colleagues and agree on the next step, based on the clients alignment with Element AI goals and offerings. Then, you might spend some time reading up on current company projects, work on your own personal learnings and answer various technical questions from your colleagues. Or You might spend the day digging deeply into a data sample provided by a client, doing the necessary data audit and knowledge discovery to make sure our proposed solution is feasible and well scoped. Then you would help writing the proposal and ensure it's technical soundness and feasibility. Or You might travel for 3 days to a client location and act as a technical expert to an on-site workshop where you will assist the client in understanding how various AI methods can be applied to help transform their business and solve their current problems. What do you need to be happy and successful in that role You like communicating with people of different profiles: customers, business-driven colleagues, developers, scientists. Multitasking is something that comes easily to you and you are able to focus on in-depth tasks when needed. You have broad AI expertise and are well-versed in the concepts of multiple domains of the field with significant depth in at least one of them. You are naturally curious and like to stay up to date with trends of multiple field of AI, reading and discussing with colleagues. You have experience in application of AI to business and enjoy actively figuring out how AI can be applied to practical industrial problems in a way that will benefit clients. You understand the reality of implementing AI products. Notably, you understand that running a model on the varied and often noisy data that arise in a commercial context differs significantly from running it on a clean academic dataset You have scientific programming experience and enjoy getting your hands dirty in various coding tasks. You have a background in a scientific or technical field and are driven by applied work. What we offer for your valuable work   Highly dynamic, innovative, passionate, intrapreneurial team   Open and inclusive company culture   Worldwide competitive salary   Participation in the company success through the Employee Stock Option Plan   Participation in company employee benefits program   Flexible hours (outside of core hours)   Autonomous, self-managed Agile teams   If you’re excited at the idea of joining a fast-growing and agile startup we want to hear from you! We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
44,c70998f0303704c6c7e453bbab0121d6,https://www.mycareersfuture.sg/job/data-scientist-rakuten-asia-c70998f0303704c6c7e453bbab0121d6,Data Scientist,Full Time,RAKUTEN ASIA PTE. LTD.,"CAPITAGREEN, 138 MARKET STREET 048946","Manager, Executive",Information Technology,5000,9000,Monthly,15 Jan 2019,0,0,0,0,"About Rakuten Institute of Technology (RIT)  Rakuten Institute of Technology (RIT) is a think-tank and technology incubator for Rakuten Group – focusing on data R&D and strategic technology development.   With offices in Tokyo, Boston, Paris, and Singapore, RIT contributions cover a broad range of topics, including Data Mining, Natural Language Processing, High-performance computing, UI/UX, and multimedia processing.   Scope  Rakuten Institute of Technology (RIT) is looking for Researchers who are passionate about data and technology.   As part of RIT, you will have an exciting opportunity to accelerate growth of existing Rakuten businesses, and to drive innovation with long-term benefits for the company; while collaborating closely with research, engineering, and business teams globally.","Be an expert and drive research results in one or more of the below areas:   Machine Learning, Statistics, Information Retrieval, Recommender Systems, Natural Language Processing, Machine Translation, Sentiment Analysis, Graph Analysis, Computer Vision, Augmented/Virtual Reality, Other emerging technologies Deliver results: Develop new technologies, improve business performance Demonstrate long-term vision, while effectively supporting short-term goals Be a thought-leader, keeping up with the academic and industry trends "
45,40e235d809e4fbd9b69409b6edb66ed2,https://www.mycareersfuture.sg/job/research-scientist-nanyang-technological-university-40e235d809e4fbd9b69409b6edb66ed2,Research Scientist,"Contract, Full Time",NANYANG TECHNOLOGICAL UNIVERSITY,"NANYANG TECHNOLOGICAL UNIVERSITY, 50 NANYANG AVENUE 639798","Professional, Non-executive","Engineering, Sciences / Laboratory / R&D",4800,5500,Monthly,14 Jan 2019,1,0,0,0,"The Physical Analysis and Cryptographic Engineering (PACE), Temasek Laboratories @ Nanyang Technological University, Singapore is seeking one motivated researcher to fulfill the research scientist position, in the area of embedded security. The candidate will perform the research on embedded security, specific to security evaluation and forensics of hardware and software targets.  This position is available from April 2019. The initial contract will be one year. There are possibilities for extension upon successful performance."," Candidates should have already completed or close to completion of PhD degree in mathematics, computer science, electrical engineering, or related disciplines, with strong background in embedded security. Experienced in embedded systems, Internet of things and security evaluation. Strong understanding of cryptographic algorithms (symmetric and asymmetric). Coding background in C/Java/Assembly/Python for analysis is required. Should have previous lab exposure to practical side channel equipment on embedded systems, which will be an integral part of the upcoming projects. The project would require implementation of assembly (AVR/ARM) optimized targets and analysis. Understanding of design and security analysis of cryptographic protocols on variety of embedded platforms. The candidate should have track record in R&D (publications in international journals and conferences. Creative, curious, self-motivated and a team player with good analytical and problem-solving skills. The candidate needs to be fluent in written and spoken English Previous experience in reverse engineering is a plus. "
46,6ac699dfb3abfb14f25bd125181f03fb,https://www.mycareersfuture.sg/job/research-associate-scientist-prestige-bioresearch-6ac699dfb3abfb14f25bd125181f03fb,RESEARCH ASSOCIATE  /  SCIENTIST,Full Time,PRESTIGE BIORESEARCH PTE. LTD.,,Non-executive,Sciences / Laboratory / R&D,3000,3500,Monthly,14 Jan 2019,0,0,0,0,"Candidates should at least have a Bachelor Degree with experience in one of the following fields: Biomedical Sciences or Life Sciences or equivalent. Candidate’s duties include, but not limited to: Laboratory Research duties:  Applicants should have Science background and some hands-on method validation and/or bioassay experience in a research lab is preferred. He / she should be able to assist supervisor to plan, run experiments and studies, analyse results and write reports and SOPs. He / she should be able to design and perform experiments independently and work in groups. Applicants who are proficient in aseptic techniques and has experience in functional assays and method validation (eg. ELISA, PK, ADA, etc.) is a must.  Administrative duties:  Lab maintenance and equipment maintenance Consumables purchase SOP, protocol and report writing General lab documentation Mentoring interns or staff  Only Singaporeans and PRs will be considered.",Candidates should at least have a Bachelor Degree with experience in one of the following fields: Biomedical Sciences or Life Sciences or equivalent.
47,e5fd15ad910d2ac72ceb120c584d082b,https://www.mycareersfuture.sg/job/protein-scientist-immunoscape-e5fd15ad910d2ac72ceb120c584d082b,Protein Scientist,Full Time,IMMUNOSCAPE PTE. LTD.,,Professional,Sciences / Laboratory / R&D,5000,7000,Monthly,11 Jan 2019,0,0,0,0,"We are looking for a highly motivated individual to join our team as Protein Scientist. The candidate will work closely with the Director of Scientific Affair to design new protein constructs for immunoSCAPE immune profiling products and services. The area of responsibility includes engineering, production, assessment, optimization and selection of proteins applicable for immunoSCAPE’s profiling techniques.   Key responsibilities  Drive protein design/engineering and production of novel biological molecules Independently design and perform strategies for production of recombinant proteins from a variety of host cells (mammalian, insect, and bacterial cells) Physical characterization and measurement of protein expression levels and quality of purified proteins using appropriate instrumentation Small-scale isolation of protein products sufficient to support characterization Troubleshoot and persevere on difficult projects to successful conclusions Develop new applications using immunoSCAPE proteins Responsible for supporting the needs of multiple projects and R&D objectives in parallel "," A doctoral degree in Biochemistry, Molecular Biology, Immunology or related fields Strong documented experience in protein biochemistry, protein purification (e.g., using chromatographic techniques), protein modification using enzymatic and chemical methods, and biophysical characterization Familiarity with recombinant expression of proteins in mammalian, insect and/or bacterial cells, purification and quantification of various classes of secreted and non-secreted proteins Hands-on, extensive experience with instrumentation essential for protein purification, especially AKTA FPLC and Agilent HPLC systems, SEC-MALS, mass spectrometer Demonstrated capabilities to independently design, implement, and troubleshoot experiments Familiarity with protein databases and structural modeling programs such as Pymol Ability to thrive and deliver results on goals in a fast-paced, dynamic and highly multi-tasking environment Knowledge of T cell immunology and hands-on experience with peptide-MHC multimers desirable Experience with multi-parameter flow cytometry or mass cytometry is an asset Excellent writing and communication skills Rigorous, organized and accountable Excellent team player, independent, self-driven with good interpersonal skills "
